;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri
0;;2015-02-01;;;;RJ;Titular;7fec3c12-9ff7-446b-909c-956eedf58896;b27beba7-ca02-4041-a9e0-1793bcd141fe;fd6d3547-a8b7-4081-9dd3-2a67abc89237
1;;2015-02-01;;;;PB;Titular;b1e02350-c537-4998-8d9d-9f6ed74a899e;b27beba7-ca02-4041-a9e0-1793bcd141fe;38e300fb-a77d-46a2-b88d-6e171ce10468
2;;2015-02-01;;;;PA;Titular;a589b3f1-96d6-4e6b-8da0-25cbcb9f6de6;b27beba7-ca02-4041-a9e0-1793bcd141fe;7efcd22f-c948-4ff2-b774-b1c8419d565d
3;;2015-02-01;;;;AC;Titular;db882a61-939d-4a79-954e-9752e1eb808a;b27beba7-ca02-4041-a9e0-1793bcd141fe;73b98b4a-5e3a-44cc-b46a-20047b7c92b1
4;;2015-02-01;;;;RS;Titular;58832b7d-e94e-40a8-a840-500cd103ba58;b27beba7-ca02-4041-a9e0-1793bcd141fe;88c8c684-df6e-4d56-8b97-f989c3c53344
5;;2015-02-01;;;;RJ;Titular;1db2023d-c025-4ea5-99ad-8a9463763c33;b27beba7-ca02-4041-a9e0-1793bcd141fe;66807575-1d3e-4650-86f8-5d4575d4f5ef
6;;2015-02-01;;;;PI;Titular;9161a872-975d-4e2b-be82-c512246ff035;b27beba7-ca02-4041-a9e0-1793bcd141fe;52675312-c47f-438a-89fa-2455c6c2f3fb
7;;2015-02-01;;;;SP;Titular;b0c1ef2b-7213-4bb0-8fd9-4bfdb40daa60;b27beba7-ca02-4041-a9e0-1793bcd141fe;6a26b378-d3b7-4800-8368-2b4a4df1cf28
8;;2015-02-01;;;;BA;Titular;0b102a18-ca0c-44ce-8bf4-e0027a3a4c0d;b27beba7-ca02-4041-a9e0-1793bcd141fe;7b4bcb22-93c5-4279-866c-8f271d5c6b6b
9;;2015-02-01;;;;RN;Titular;3c7d33b2-b5df-488c-9b02-c906bce1eaa5;b27beba7-ca02-4041-a9e0-1793bcd141fe;ac068375-cb31-4f72-af60-c9f5acd65e70
10;;2015-02-01;;;;PE;Titular;35325b4f-3770-45fe-bc21-d1b6c1048922;b27beba7-ca02-4041-a9e0-1793bcd141fe;847169d3-275f-4f49-9cef-3046c16c7010
11;;2015-02-01;;;;BA;Titular;7a317083-49a6-4306-89f4-6ccd1706a651;b27beba7-ca02-4041-a9e0-1793bcd141fe;74cc0672-7705-41f3-ae15-bff663dff45d
12;;2015-02-01;;;;MG;Titular;45d38ade-1c5a-4f86-957b-cd078e5361b1;b27beba7-ca02-4041-a9e0-1793bcd141fe;cd7d66d6-04f1-47b7-b730-1ef672c711ef
13;;2015-02-01;;;;SP;Titular;611c9e2d-a9e3-49d8-bf6d-072d3c3b31af;b27beba7-ca02-4041-a9e0-1793bcd141fe;4f18e9ca-eedc-4ef7-9cc7-57c342cfcffe
14;;2015-02-01;;;;SE;Titular;16272ffc-00c4-4af2-9ac8-09f643b1f6a4;b27beba7-ca02-4041-a9e0-1793bcd141fe;e393450c-b781-4ab8-b44d-0820dac28aa0
15;;2015-02-01;;;;MG;Titular;6d3384c4-95f0-48bf-9820-90c8e1c3aa0b;b27beba7-ca02-4041-a9e0-1793bcd141fe;ea4a4eca-3f98-4a48-870b-155095b9c530
16;;2015-02-01;;;;RR;Titular;658f8181-1089-4033-b625-904cc5f2f11b;b27beba7-ca02-4041-a9e0-1793bcd141fe;929e37ac-73e4-4cfa-93c1-ea68141a5f95
17;;2015-02-01;;;;SP;Titular;61a4a486-91ab-4733-8da7-0758a0cca8f1;b27beba7-ca02-4041-a9e0-1793bcd141fe;861fcc8f-1a95-4965-8f3c-71f14f5253d5
18;;2015-02-01;;;;RJ;Titular;ccb02c52-d987-4816-9259-f2b917ab0a0a;b27beba7-ca02-4041-a9e0-1793bcd141fe;0841a002-1dcc-4756-b13b-352b54897fff
19;;2015-02-01;;;;AP;Titular;bea3cc27-dcd1-441e-a00f-0cfd47767850;b27beba7-ca02-4041-a9e0-1793bcd141fe;267ee916-3eda-47db-b146-018d8d624114
20;;2015-02-01;;;;BA;Titular;2d3c629e-a5fb-4e1c-96bb-85ce530989a8;b27beba7-ca02-4041-a9e0-1793bcd141fe;b91e83ce-52bf-4f21-9256-31ce2b5c37d5
21;;2015-02-01;;;;BA;Titular;0ca0795c-a084-42b0-9038-5119ba37653e;b27beba7-ca02-4041-a9e0-1793bcd141fe;ab69cd94-6117-4e89-b6e2-911617a81516
22;;2015-02-01;;;;SP;Titular;420a6570-0a55-492d-87d3-e6ae811e4227;b27beba7-ca02-4041-a9e0-1793bcd141fe;fa8613af-a43d-4161-920c-e006aaf7a46f
23;;2015-02-01;;;;PA;Titular;df2cd876-f530-4eb0-b378-dab8f310e026;b27beba7-ca02-4041-a9e0-1793bcd141fe;ed78c1c4-6c7a-4109-bc8f-dfcb8b5aee07
