;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri_x;cam:dataFalecimento;cam:dataNascimento;cam:email;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;cam:nomeProfissao;cam:sexo;slp:old_resource_uri;slp:resource_uri_y
0;;2015-02-01;;;;AP;Titular;0c09b717-9e84-4f96-baff-1396ffde2225;b27beba7-ca02-4041-a9e0-1793bcd141fe;f7dd38ab-56a0-4d4d-b336-1a6715c7a1d7;;1966-06-22;dep.robertogoes@camara.gov.br;178995;ANTONIO ROBERTO RODRIGUES GÓES DA SILVA;ROBERTO GÓES;Administrador;M;d756776bc56efce11d2fecee1f4855d0;0c09b717-9e84-4f96-baff-1396ffde2225
1;;2015-02-01;;;;RN;Titular;991898e8-c29b-48f3-b063-993647de89f4;b27beba7-ca02-4041-a9e0-1793bcd141fe;46745ddb-a65c-4b2f-864c-f605e6e359fa;;1973-12-07;dep.felipemaia@camara.gov.br;141429;FELIPE CATALÃO MAIA;FELIPE MAIA;;M;949b23d23985a4ef93de4f43d0eff8fa;991898e8-c29b-48f3-b063-993647de89f4
2;;2015-02-01;;;;AC;Titular;8b6b072f-2ddb-42cb-bde3-d1aae3fb5610;b27beba7-ca02-4041-a9e0-1793bcd141fe;59cd5d76-8acd-420c-af62-85fcdba59337;;1976-10-23;dep.alanrick@camara.gov.br;178836;ALAN RICK MIRANDA;ALAN RICK;Administrador de Empresas, Jornalista;M;3f8ce45065ead34564ffbb987a294be7;8b6b072f-2ddb-42cb-bde3-d1aae3fb5610
3;;2015-02-01;;;;MA;Titular;8e0752c7-21d0-46b9-8fef-0a3a49305652;b27beba7-ca02-4041-a9e0-1793bcd141fe;8a1caba9-c718-4aab-a664-425ca788d487;;1973-11-11;dep.joaomarcelosouza@camara.gov.br;112437;JOÃO MARCELO SANTOS SOUZA;JOÃO MARCELO SOUZA;Psicólogo;M;de549e980bd660b3b287d5893a2e41a8;8e0752c7-21d0-46b9-8fef-0a3a49305652
4;;2015-02-01;;;;SP;Titular;b7e9e1fb-c94d-4e3e-ace5-eae5336202d8;b27beba7-ca02-4041-a9e0-1793bcd141fe;7cb50203-c46c-48e3-9d0a-76fdb27baa48;;1950-05-20;dep.vanderleimacris@camara.gov.br;141553;VANDERLEI MACRIS;VANDERLEI MACRIS;;M;0686f3aacaafeec85d46c3f48ceca6aa;b7e9e1fb-c94d-4e3e-ace5-eae5336202d8
5;;2015-02-01;;;;RJ;Titular;e0bea418-a279-4fc1-be87-0ad12b13d570;b27beba7-ca02-4041-a9e0-1793bcd141fe;0aa20543-b823-4c6f-b35e-3a3cd5f5a79f;;1971-10-28;dep.alessandromolon@camara.gov.br;160511;ALESSANDRO LUCCIOLA MOLON;ALESSANDRO MOLON;;M;069ec5b7ba726af033923cb2dd8a7340;e0bea418-a279-4fc1-be87-0ad12b13d570
6;;2015-02-01;;;;RR;Titular;ac5971a9-72b6-4523-85f6-67fecaf86213;b27beba7-ca02-4041-a9e0-1793bcd141fe;1f592971-10a6-42cf-8a91-d730a929fe8d;;1966-08-07;dep.remidiomonai@camara.gov.br;178960;REMIDIO MONAI MONTESSI;REMÍDIO MONAI;;M;68daee9ed1c1ee57bdb29f180b416adc;ac5971a9-72b6-4523-85f6-67fecaf86213
7;;2015-02-01;;;;PR;Titular;15b8fc34-6360-46bc-8b4d-8ec80564101d;b27beba7-ca02-4041-a9e0-1793bcd141fe;39d2f9e7-e9c0-4b4a-a6a9-91468aa3b010;;1989-02-26;dep.alielmachado@camara.gov.br;178927;ALIEL MACHADO BARK;ALIEL MACHADO;;M;292752eeb282a9776ee443cf44b26bb7;15b8fc34-6360-46bc-8b4d-8ec80564101d
8;;2015-02-01;;;;MG;Titular;eb798cdd-f2b3-4067-bf61-3cfe6fb2d5c0;b27beba7-ca02-4041-a9e0-1793bcd141fe;293d707a-1b48-4db6-b61b-5a8e48e64759;;1961-12-15;dep.aeltonfreitas@camara.gov.br;141372;AELTON JOSÉ DE FREITAS;AELTON FREITAS;Empresário, Engenheiro Agrônomo, Produtor Rural;M;98911d3cdfdea21f0727f24324716a4c;eb798cdd-f2b3-4067-bf61-3cfe6fb2d5c0
9;;2015-02-01;;;;RJ;Titular;427200ad-6036-4b32-b9a5-8366ad3762a4;b27beba7-ca02-4041-a9e0-1793bcd141fe;c5c42a99-a941-42f3-8f7c-959c500f9f95;;1978-05-16;dep.marcossoares@camara.gov.br;178943;MARCOS BEZERRA RIBEIRO SOARES;MARCOS SOARES;Advogado(a);M;1a2a8c12348380555e510d1e1b6e7de3;427200ad-6036-4b32-b9a5-8366ad3762a4
