sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slnp:resource_uri
5573;Abel Rebouças São José;Abel Rebouças;c072c80f-3595-43c0-86a2-f9de4ab08a94
111;Blairo Borges Maggi;Blairo Maggi;88776b6d-78a4-4409-b4ed-d6d7da02d5ab
5136;Cesar Antonio de Souza;Cesar Antonio de Souza;664ca3b7-95cf-4647-b0d9-7c5d69dd5caf
391;Aécio Neves da Cunha;Aécio Neves;12ccdcb9-3b04-4be8-aadd-287b05819002
5631;Genésio Ayres Marchetti;Ayres Marchetti;ac4e1241-47d9-4b28-a926-45ecb143d59f
5633;Atilio Francisco da Silva;Atilio Francisco;3d8250ad-d2c7-4932-92c8-2b93a11aeed4
5138;Athos de Almeida Lopes;Athos de Almeida Lopes;8117a2a2-3d7f-4f31-a816-7eb3290fd1c6
715;Armando de Queiroz Monteiro Neto;Armando Monteiro;386d86c5-0783-4cb3-aae0-0201ac1a26e0
5164;Ataídes de Oliveira;Ataídes Oliveira;b36d3e89-1dfd-4517-8055-1cfad349d2ed
5639;Guaracy Batista da Silveira;Bispo Guaracy;a2533de3-bbef-412a-ae10-5100ea4d2f3f
3823;Benedito de Lira;Benedito de Lira;91ec91fc-a655-46e9-b24f-ff1b97babe58
5593;Celso Dal Lago Rodrigues;Celso Dal Lago Rodrigues;388fef04-b712-4c82-826a-86ac37210469
5559;José Afonso Teixeira;Bispo José;e157442c-73f5-479b-bdd5-36bbed082774
5603;Carlos Augusto Lopes da Costa;Carlos Augusto Costa;b1d75ea0-0971-4bef-b93e-4e84bc03f371
5028;Armando José de Oliveira;Armando José de Oliveira;ea98af64-ce61-45a4-8f4b-8ded50d585f2
5118;Zonir Freitas Tetila;Zonir Freitas Tetila;1ffcfd67-f316-4ea1-969c-96e99239481a
5144;José Perrella de Oliveira Costa;Zeze Perrella;1052a27f-0307-407c-8bdd-24b6e9e964db
4697;Ângela Maria Gomes Portela;Ângela Portela;79bbb177-8bbd-4680-910d-6db3c691baec
5168;Aristavora de Souza Santos;Aristavora de Souza Santos;865e1ac6-bf2d-4f9b-93a1-86f932a9f150
3811;José Wilson Santiago;Wilson Santiago;abe615a3-a87f-4b46-bd82-75a25e0f8eb4
5070;Wilder Pedro de Morais;Wilder Morais;14d43b00-ed42-42c8-ba27-66f7b8950a5a
3597;Wirlande Santos da Luz;Wirlande da Luz;f1f35be1-09d3-47ba-9deb-54cb8b301e3d
5096;Wilmar Lacerda;Wilmar Lacerda;f61cacd1-0e20-4a74-92dc-526ca62eee18
1173;Wellington Antonio Fagundes;Wellington Fagundes;21e61d7f-4885-46ba-af27-0996be05fea1
1176;Waldemir Moka Miranda de Britto;Waldemir Moka;a52a3599-99d2-4c05-9b70-e098a40fce7b
5016;José Wellington Barroso de Araujo Dias;Wellington Dias;0b24b902-066d-4501-aa7a-31ed795c4b13
604;Walter de Freitas Pinheiro;Walter Pinheiro;21d77c6d-c0d1-47c4-a429-9674c0d3e791
4786;Virginio José de Carvalho Neto;Virginio de Carvalho;4e72f813-d719-4603-b0a3-c4ec1c130b0a
4645;Vital do Rêgo Filho;Vital do Rêgo;1c52ef0c-d1d6-4748-890d-53a5f46e529f
5082;Waldemir Catanho de Sena Júnior;Waldemir Catanho de Sena Júnior;6b9bc6cf-6b15-4ac8-8812-aea846cff333
791;Vivaldo Vieira Barbosa;Vivaldo Barbosa;05b55429-5eb2-4d03-a69c-3a26cae8c4ad
4763;Vicente Alves de Oliveira;Vicentinho Alves;1d5649e5-f68f-40c0-b7f7-f86975a36d92
558;Vanessa Grazziotin;Vanessa Grazziotin;bb9287ce-6978-47ac-8891-d1f0261523bc
5084;Veridiana Maria Tonini;Veridiana Maria Tonini;40d14615-e15e-43e4-97cd-a79a4248826e
5130;Valério Djalma Cavalcanti Marinho;Valério Djalma Cavalcanti Marinho;0e0dadca-92b8-4152-83dc-8ab070da0c0e
375;Valdir Ganzer;Valdir Ganzer;5d12c296-e621-46d1-86af-53c1af438965
5420;Ubiraci Picanço;Ubiraci Picanço;4ef1a81a-31e3-4a83-a69b-ab3a59e085b3
5068;Tânia Cristina Magalhães Bastos e Silva;Tânia Cristina Magalhães Bastos e Silva;69a391c0-c114-4835-8d64-eb6acf28c59e
438;Tilden José Santiago;Tilden Santiago;8e8c23b8-316d-4b42-b1f6-ea62b2c73ce0
4949;Tomás Guilherme Correia;Tomás Correia;9dac7a9c-1da3-4986-a712-81addce44c43
5619;Thieres Pinto de Mesquita Filho;Thieres Pinto;8f5f9a1f-713f-40bd-8c3a-b3b86c12c347
3372;Valdir Raupp de Matos;Valdir Raupp;085b8da7-75da-4a74-9f62-690b407533ae
5629;Theodorico Bezerra Netto;Theodorico Netto;6284584e-83e8-41d2-ae03-a65e87488d81
5535;Telmário Mota de Oliveira;Telmário Mota;d731e172-e6d2-41da-91f2-b50738580bfe
3396;Tasso Ribeiro Jereissati;Tasso Jereissati;4d08b889-3dc6-409f-93c4-749c8f2a77b8
5056;Silvia Nascimento Cardoso dos Santos Cerqueira;Silvia Nascimento Cardoso dos Santos Cerqueira;0a3c6e80-4436-4468-a816-b12471b3739c
5527;Simone Nassar Tebet;Simone Tebet;ded5a5e0-802d-4076-883e-94befc266229
5106;Sérgio Rogério de Castro;Sérgio de Castro;4c1a0a0a-4e60-4980-84cc-bf878785445b
4560;Sérgio de Oliveira Cunha;Sérgio Petecão;c47a2a83-2f7d-4b23-96c8-c8389d230ca3
5563;Severino Barboza Leão;Severino Leão;34073aad-7438-4174-a047-62f7a7ec2461
624;Aluísio Sérgio Novais Eleutério;Sérgio Novais;9c3156c5-a14b-4d99-9484-b3e55704b988
5038;Sandra Backsmann Braga;Sandra Braga;296f627e-a475-4057-b4d1-72a73682b546
5583;Schariff Moyses;Schariff Moyses;d90dd54c-a838-4351-ba10-0a16ec667fb7
5611;Severino Nunes de Araujo;Severino Araujo;98a53332-5fd9-4493-b9a6-db9d80f5448c
5172;Sanny Japiassú dos Santos;Sanny Japiassú dos Santos;00a976ac-4646-4751-8d23-e3b101653ea2
5048;Sergio de Souza;Sergio Souza;0a9469a3-3731-46af-bcda-e2b2da4d6def
5074;Sander Fraxe Salomao;Sander Fraxe Salomao;b632a9db-9db4-4a8f-9ddc-9d7754e6494b
5621;Rudson Leite da Silva;Rudson Leite;bdff27a3-bc83-40b5-bdd4-8391c7a777e5
4847;Salomão Alcolumbre Júnior;Salomão Alcolumbre Júnior;aa343aa2-ad5d-45c4-88d1-0f998f7a2b1c
2331;Rosilda de Freitas;Rose de Freitas;67ccee0c-9a35-4379-96c6-0d94517240b1
5601;Roosevelt Vita;Roosevelt Vita;15f6c4e1-7866-4d6b-8b06-c68b74f34280
5110;Manoel Antônio Rodrigues Palma;Rodrigues Palma;3ba55941-dc1f-418e-8dca-4c35d5d9d2ab
5322;Romario de Souza Faria;Romário;72c0393e-79e4-4bf0-9bfb-0daeb5d20041
