cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slnp:resource_uri
2015-01-30;RS;2011-02-01;e38a5721-8e42-4166-acdf-e86691815fed;22a2ecf6-5f03-4da9-bc89-48319d152403;30a9cd23-b515-430d-a59e-5a5c35d41498
2015-01-30;RS;2011-02-01;5482441d-97dc-4cff-a6c8-8cfde80b3a3d;22a2ecf6-5f03-4da9-bc89-48319d152403;aa72d5da-97e7-4970-913f-50d8e4d83e0a
2011-10-30;SP;2011-02-01;8a00a87d-86d9-4a37-b73e-7ebe58ccda92;22a2ecf6-5f03-4da9-bc89-48319d152403;0c2eda2d-0959-4892-8b2b-10aca587b8eb
2015-01-30;MG;2011-02-01;19f48d20-2e53-4265-a474-64fc6218625e;22a2ecf6-5f03-4da9-bc89-48319d152403;0d5d2085-f8b1-4698-a72c-6fe64f419d04
2015-01-30;PR;2011-02-01;7f05e4dd-4070-4dde-ad79-ad7ac97f7dc6;22a2ecf6-5f03-4da9-bc89-48319d152403;1938d58a-d22d-49d8-a396-c69eb73c0089
2011-02-01;BA;2011-02-01;86fe426e-09c8-4f29-aef4-d09c117d7751;22a2ecf6-5f03-4da9-bc89-48319d152403;2e6bef29-229c-4495-8e42-40272e35d5a9
2015-01-30;RJ;2011-02-01;aad2db5f-3b36-48fb-8d23-263ce70464f5;22a2ecf6-5f03-4da9-bc89-48319d152403;719f73dc-97f2-419c-b94e-8455ea16e8e0
2012-02-05;PB;2011-02-01;23140185-3c78-466f-a594-22ae1e0835b4;22a2ecf6-5f03-4da9-bc89-48319d152403;a1696251-7599-4831-b530-a1157dd5a82b
2012-06-04;MA;2011-02-01;2536a2ae-e346-4eee-86cb-a2753fa91c6f;22a2ecf6-5f03-4da9-bc89-48319d152403;11b80feb-6c2f-4122-b54d-3e2899da0355
2015-01-30;MG;2011-02-01;92360d81-8315-4957-8aaa-1c8e2d49693f;22a2ecf6-5f03-4da9-bc89-48319d152403;8a3a6de3-7878-47a8-a689-237e1d614d5b
2011-07-31;SP;2011-02-01;16b94407-69cc-41d4-b629-c149e45713d4;22a2ecf6-5f03-4da9-bc89-48319d152403;5aaef233-b851-4b78-8cbd-7ac2cb7bb3a1
