org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slnp:resource_uri
1aae4a8a-8e07-4d3e-b5a9-66e572c674da;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2018-04-26;2016-05-15;ea25220c-7fc7-4d2b-8569-5df19e837db0
1aae4a8a-8e07-4d3e-b5a9-66e572c674da;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2014-07-17;2014-03-13;056b025a-191a-444b-9fc9-6977654c06c6
1aae4a8a-8e07-4d3e-b5a9-66e572c674da;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2012-12-16;2012-08-09;9b0cbc51-cad3-4655-9e35-fe423adcf4c7
d078c83f-fed0-4e76-abd6-17e515cb2f7b;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;452;DF;;2011-02-01;5adf4d36-e418-4ad6-abf9-58080453eef1
7b2ec4ca-44b3-461c-bb09-365c0bb4b872;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;347;MG;2014-07-15;2011-01-12;621de215-a855-49b2-8f38-65577b32029c
5cc35c86-a110-4a52-9364-971947fc80ab;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;458;PI;;2011-02-01;4fcacd83-5f5d-434e-89f0-ec9d14849fe6
191c1b95-ec86-4a4c-8d93-d46ef4007eeb;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;361;SC;2015-01-31;2011-01-29;cdb56159-3c1a-47eb-b78e-4d18816ee80d
191c1b95-ec86-4a4c-8d93-d46ef4007eeb;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;361;SC;2010-07-08;2010-07-08;0097fe7d-98ac-4120-8051-fbdcd716b1d1
191c1b95-ec86-4a4c-8d93-d46ef4007eeb;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;361;SC;2008-10-24;2008-07-01;87fa3320-49ba-465f-aee5-573fafc0e02f
c938264c-50bf-43b9-b27f-20b682589bd8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;346;PB;2008-07-31;2008-04-02;fe5462f4-10ed-4ba5-a767-8852eb033207
13bc1151-2c1b-499a-9ff5-bcfd29f5d5c9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2016-05-13;2014-07-18;700d308d-eef8-41b9-8fa1-6f11e3148401
13bc1151-2c1b-499a-9ff5-bcfd29f5d5c9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2014-03-12;2012-12-17;6f5f5641-c183-42f2-9c89-59f281d8bf17
13bc1151-2c1b-499a-9ff5-bcfd29f5d5c9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;456;MT;2012-08-08;2011-02-01;0f3e0116-3805-4022-a6a0-682b29d30a5d
30a64749-0f9e-4d3d-b262-2b74ad599620;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;457;AL;;2011-02-01;ccf5b7ea-2291-477d-a02d-1667e5e58b82
