cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slnp:resource_uri
;PRB;;64965d06-916a-4ef9-a8c7-886055dc979e;6a688541-b16a-45ca-8aa9-fa700373279f;fe42e2cd-dfab-43be-be18-cb88180637fe
;DEM;;64965d06-916a-4ef9-a8c7-886055dc979e;6a688541-b16a-45ca-8aa9-fa700373279f;db643c02-6940-41c0-b668-fee9d4ae20b4
;PP;;908bcac7-6fc7-4957-9ae9-00a46ad10a37;6a688541-b16a-45ca-8aa9-fa700373279f;f5193800-cd60-453b-b9c2-add0ec7f27d3
;PMDB;;5ff9cfe9-2fee-47b6-b7ac-a1cb282236be;6a688541-b16a-45ca-8aa9-fa700373279f;e6279cfe-789b-49c5-959a-49f14bea2571
;PT;;e4e93a22-8177-400a-8231-2e8ae9d06a12;6a688541-b16a-45ca-8aa9-fa700373279f;3bc84a72-bbf1-4cda-8833-7e94d7c8b234
;PSB;;0a39e693-7990-4118-8637-278d778df124;6a688541-b16a-45ca-8aa9-fa700373279f;f66c069d-a9e5-4d3e-bec6-9b4da1aa7683
;S.PART.;;0a39e693-7990-4118-8637-278d778df124;6a688541-b16a-45ca-8aa9-fa700373279f;bba07c8f-d6bd-4219-97b9-d6edb1a5297d
;PRB;;0a39e693-7990-4118-8637-278d778df124;6a688541-b16a-45ca-8aa9-fa700373279f;a10f58f3-e299-4a69-a02d-1437f2f9c928
;PP;;abf442cf-ef29-40f6-8929-9a4066570ed2;6a688541-b16a-45ca-8aa9-fa700373279f;b608cd5e-0d51-44c5-9b07-fd67420399ae
;PDT;;92f42906-8bf7-4ede-9623-d436a052aa3a;6a688541-b16a-45ca-8aa9-fa700373279f;8bd6f8ab-e983-4f42-bc5e-f813f6a486a8
;PR;;8b012d6f-1eef-426e-b2af-921d2cb147f1;6a688541-b16a-45ca-8aa9-fa700373279f;9943194b-ef77-4712-9cdf-08342c746c37
;PSDB;;0cad898e-314c-42ee-9bbb-5ce1578ba9dd;6a688541-b16a-45ca-8aa9-fa700373279f;7894e233-87ae-4294-8699-25e1380de122
;PTB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;9c3208d0-fb82-4110-94e9-95987afad269
;PMB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;866384b9-6329-40d0-b08e-c8ee31ad6efb
;PTdoB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;b3351af8-5738-4891-ac5a-114107554112
;PTB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;d67e1afa-5d1f-44ee-95b2-d7a2f884e6e7
;PTdoB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;5372a597-fdec-46f3-bd8c-500833303eea
;AVANTE;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;601f22c4-126d-4bf0-8462-beb095213c2c
;PTB;;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;6a688541-b16a-45ca-8aa9-fa700373279f;f7f70067-bff3-4552-89db-dcacb9547fc9
;PR;;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;6a688541-b16a-45ca-8aa9-fa700373279f;e1438710-b2f0-49f0-b0d7-97b1df31679a
;PHS;;55df2c80-2de5-4739-b227-bcd41d1ee1f1;6a688541-b16a-45ca-8aa9-fa700373279f;170df798-6c30-4923-a26c-f16391c172b4
;S.PART.;;55df2c80-2de5-4739-b227-bcd41d1ee1f1;6a688541-b16a-45ca-8aa9-fa700373279f;4f20aeff-b474-4c23-a523-5b4114e062b5
;PP;;55df2c80-2de5-4739-b227-bcd41d1ee1f1;6a688541-b16a-45ca-8aa9-fa700373279f;812da4b3-77ea-4228-aee1-083b9628b8d7
;PT;;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;6a688541-b16a-45ca-8aa9-fa700373279f;c11b6e40-94f9-4ede-848f-0f6f3300b533
;PROS;;afecd733-1fa9-4a4b-b639-5302baec6ad9;6a688541-b16a-45ca-8aa9-fa700373279f;153e18d7-3368-41ea-a291-e1e21c68cd8a
;PDT;;afecd733-1fa9-4a4b-b639-5302baec6ad9;6a688541-b16a-45ca-8aa9-fa700373279f;2abd0932-a4ef-4ac0-bb5e-b622752e5e2f
;PTB;;2dd6db55-28c2-4607-8784-d8f45f9e2177;6a688541-b16a-45ca-8aa9-fa700373279f;66a2382f-74fe-42d1-98db-289503096518
