finishDate;org:member;org:role;resource_uri;role;startDate
;c072c80f-3595-43c0-86a2-f9de4ab08a94;6a688541-b16a-45ca-8aa9-fa700373279f;a4084c1a-a2f7-438d-b4fc-1085af4b0256;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;88776b6d-78a4-4409-b4ed-d6d7da02d5ab;6a688541-b16a-45ca-8aa9-fa700373279f;f1375dee-a50d-48bc-86d4-6d72d268dbe5;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-27
;664ca3b7-95cf-4647-b0d9-7c5d69dd5caf;6a688541-b16a-45ca-8aa9-fa700373279f;c3b4c7d2-f81d-4e26-b924-ea1a28124502;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;12ccdcb9-3b04-4be8-aadd-287b05819002;6a688541-b16a-45ca-8aa9-fa700373279f;10cddeff-52aa-41a5-a219-118dfa276883;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;ac4e1241-47d9-4b28-a926-45ecb143d59f;6a688541-b16a-45ca-8aa9-fa700373279f;670dbcd1-5c18-4f56-81e0-e84e334059e2;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;3d8250ad-d2c7-4932-92c8-2b93a11aeed4;6a688541-b16a-45ca-8aa9-fa700373279f;60952631-58e2-44fa-bca9-8f6044638a3c;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;8117a2a2-3d7f-4f31-a816-7eb3290fd1c6;6a688541-b16a-45ca-8aa9-fa700373279f;18189899-204a-4a05-885f-ac64d6b4a4dd;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;386d86c5-0783-4cb3-aae0-0201ac1a26e0;6a688541-b16a-45ca-8aa9-fa700373279f;7b390928-fb87-464b-8064-8d89ee24f228;6a688541-b16a-45ca-8aa9-fa700373279f;2003-05-15
2003-05-14;386d86c5-0783-4cb3-aae0-0201ac1a26e0;6a688541-b16a-45ca-8aa9-fa700373279f;2076649b-d440-4888-982d-a555ca616d06;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;b36d3e89-1dfd-4517-8055-1cfad349d2ed;6a688541-b16a-45ca-8aa9-fa700373279f;027fab11-7376-4858-8765-7f2916cd2c2e;6a688541-b16a-45ca-8aa9-fa700373279f;2014-12-13
2014-12-12;b36d3e89-1dfd-4517-8055-1cfad349d2ed;6a688541-b16a-45ca-8aa9-fa700373279f;4f71b7bf-3cf6-4b34-98f9-dcc1f73fc778;6a688541-b16a-45ca-8aa9-fa700373279f;2013-12-23
2013-12-22;b36d3e89-1dfd-4517-8055-1cfad349d2ed;6a688541-b16a-45ca-8aa9-fa700373279f;d274776d-fb48-43a2-8508-aa5a8852b630;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;a2533de3-bbef-412a-ae10-5100ea4d2f3f;6a688541-b16a-45ca-8aa9-fa700373279f;86420ad5-a34b-4511-93f2-165d8f06fbd9;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;91ec91fc-a655-46e9-b24f-ff1b97babe58;6a688541-b16a-45ca-8aa9-fa700373279f;306efaa6-b1a6-4781-a159-e6504592226e;6a688541-b16a-45ca-8aa9-fa700373279f;2003-06-02
2003-06-01;91ec91fc-a655-46e9-b24f-ff1b97babe58;6a688541-b16a-45ca-8aa9-fa700373279f;0a5a15d6-7e4e-4bec-8868-eff24162e5aa;6a688541-b16a-45ca-8aa9-fa700373279f;2003-04-08
