cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;org:role;slnp:resource_uri;org:postIn
;PRB;;64965d06-916a-4ef9-a8c7-886055dc979e;6a688541-b16a-45ca-8aa9-fa700373279f;fe42e2cd-dfab-43be-be18-cb88180637fe;d37dcf09-129b-4ef3-8488-b96ab24aa0e8;7b211b34-df61-11e7-b235-c82a144c0a85
;DEM;;64965d06-916a-4ef9-a8c7-886055dc979e;6a688541-b16a-45ca-8aa9-fa700373279f;db643c02-6940-41c0-b668-fee9d4ae20b4;12dabcc1-6fc0-4cff-9024-f3fa1368ada3;7b20ed7e-df61-11e7-bb65-c82a144c0a85
;PP;;908bcac7-6fc7-4957-9ae9-00a46ad10a37;6a688541-b16a-45ca-8aa9-fa700373279f;f5193800-cd60-453b-b9c2-add0ec7f27d3;a4259e2e-f473-4bb8-9511-c07842a701f3;7b21152e-df61-11e7-bdcf-c82a144c0a85
;PMDB;;5ff9cfe9-2fee-47b6-b7ac-a1cb282236be;6a688541-b16a-45ca-8aa9-fa700373279f;e6279cfe-789b-49c5-959a-49f14bea2571;42193783-26cd-4631-b569-a8ff67833e4c;7b210cfa-df61-11e7-9864-c82a144c0a85
;PT;;e4e93a22-8177-400a-8231-2e8ae9d06a12;6a688541-b16a-45ca-8aa9-fa700373279f;3bc84a72-bbf1-4cda-8833-7e94d7c8b234;46d99f39-cb6b-4d57-831a-3971cb4a2e2e;7b2138a6-df61-11e7-baf1-c82a144c0a85
;PSB;;0a39e693-7990-4118-8637-278d778df124;6a688541-b16a-45ca-8aa9-fa700373279f;f66c069d-a9e5-4d3e-bec6-9b4da1aa7683;e9e610f9-b327-4a80-8876-e8b775c4e010;7b212b86-df61-11e7-9f98-c82a144c0a85
;S.PART.;;0a39e693-7990-4118-8637-278d778df124;6a688541-b16a-45ca-8aa9-fa700373279f;bba07c8f-d6bd-4219-97b9-d6edb1a5297d;364969e2-4c47-4775-a2dd-03163852b79f;7b214aa8-df61-11e7-a515-c82a144c0a85
;PRB;;0a39e693-7990-4118-8637-278d778df124;6a688541-b16a-45ca-8aa9-fa700373279f;a10f58f3-e299-4a69-a02d-1437f2f9c928;f78bdfd2-de08-4820-9534-3a315217a78c;7b211b34-df61-11e7-b235-c82a144c0a85
;PP;;abf442cf-ef29-40f6-8929-9a4066570ed2;6a688541-b16a-45ca-8aa9-fa700373279f;b608cd5e-0d51-44c5-9b07-fd67420399ae;ac142ba6-eac8-4295-89eb-f0e3257ff508;7b21152e-df61-11e7-bdcf-c82a144c0a85
;PDT;;92f42906-8bf7-4ede-9623-d436a052aa3a;6a688541-b16a-45ca-8aa9-fa700373279f;8bd6f8ab-e983-4f42-bc5e-f813f6a486a8;a4db5e17-042f-47ae-b211-126b8714aa94;7b210070-df61-11e7-97e9-c82a144c0a85
;PR;;8b012d6f-1eef-426e-b2af-921d2cb147f1;6a688541-b16a-45ca-8aa9-fa700373279f;9943194b-ef77-4712-9cdf-08342c746c37;0fd9a0c9-9acb-43fa-85c1-0c86a6c19a7a;7b211a38-df61-11e7-b1b8-c82a144c0a85
;PSDB;;0cad898e-314c-42ee-9bbb-5ce1578ba9dd;6a688541-b16a-45ca-8aa9-fa700373279f;7894e233-87ae-4294-8699-25e1380de122;2d4fc7a8-c537-4c96-aa5e-e4cee581cc2b;7b212e92-df61-11e7-aaf4-c82a144c0a85
;PTB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;9c3208d0-fb82-4110-94e9-95987afad269;a44f7894-7c95-48a9-9746-596f338501cf;7b2139c8-df61-11e7-8d64-c82a144c0a85
;PMB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;866384b9-6329-40d0-b08e-c8ee31ad6efb;13ea99d3-460b-4cbf-b9af-b551e78a422a;7b213f54-df61-11e7-9eec-c82a144c0a85
;PTdoB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;b3351af8-5738-4891-ac5a-114107554112;3532eea7-017d-4d87-9283-15a881b98f54;7b213c18-df61-11e7-9e2c-c82a144c0a85
;PTB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;d67e1afa-5d1f-44ee-95b2-d7a2f884e6e7;4f294787-8969-40ff-9610-4e6713c590d5;7b2139c8-df61-11e7-8d64-c82a144c0a85
;PTdoB;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;5372a597-fdec-46f3-bd8c-500833303eea;deff6045-827a-440c-9cb2-fac40e1c14a2;7b213c18-df61-11e7-9e2c-c82a144c0a85
;AVANTE;;8d0f8273-6da1-42f9-8125-8fb4ab094096;6a688541-b16a-45ca-8aa9-fa700373279f;601f22c4-126d-4bf0-8462-beb095213c2c;c33c2d30-36c4-49a7-b774-102596dee937;7b21444a-df61-11e7-a137-c82a144c0a85
;PTB;;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;6a688541-b16a-45ca-8aa9-fa700373279f;f7f70067-bff3-4552-89db-dcacb9547fc9;23d9fd3d-1d4f-4355-865b-9af337339c14;7b2139c8-df61-11e7-8d64-c82a144c0a85
;PR;;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;6a688541-b16a-45ca-8aa9-fa700373279f;e1438710-b2f0-49f0-b0d7-97b1df31679a;91a5df08-b82e-41e3-8ecd-985e13c33062;7b211a38-df61-11e7-b1b8-c82a144c0a85
;PHS;;55df2c80-2de5-4739-b227-bcd41d1ee1f1;6a688541-b16a-45ca-8aa9-fa700373279f;170df798-6c30-4923-a26c-f16391c172b4;9880a037-e315-45a6-bac1-9bd315b04026;7b2107c8-df61-11e7-a617-c82a144c0a85
;S.PART.;;55df2c80-2de5-4739-b227-bcd41d1ee1f1;6a688541-b16a-45ca-8aa9-fa700373279f;4f20aeff-b474-4c23-a523-5b4114e062b5;7b812891-8d61-46a8-86b1-d57386982485;7b214aa8-df61-11e7-a515-c82a144c0a85
;PP;;55df2c80-2de5-4739-b227-bcd41d1ee1f1;6a688541-b16a-45ca-8aa9-fa700373279f;812da4b3-77ea-4228-aee1-083b9628b8d7;158442a9-c3dd-40d8-9d01-9de55d356278;7b21152e-df61-11e7-bdcf-c82a144c0a85
;PT;;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;6a688541-b16a-45ca-8aa9-fa700373279f;c11b6e40-94f9-4ede-848f-0f6f3300b533;8457639a-7cf4-41c6-8d64-642de0a04831;7b2138a6-df61-11e7-baf1-c82a144c0a85
;PROS;;afecd733-1fa9-4a4b-b639-5302baec6ad9;6a688541-b16a-45ca-8aa9-fa700373279f;153e18d7-3368-41ea-a291-e1e21c68cd8a;d3496f60-8d17-4511-996e-e533d30e6e8f;7b20e63a-df61-11e7-b49c-c82a144c0a85
;PDT;;afecd733-1fa9-4a4b-b639-5302baec6ad9;6a688541-b16a-45ca-8aa9-fa700373279f;2abd0932-a4ef-4ac0-bb5e-b622752e5e2f;5e76581a-dae6-4189-836f-e1c5b12167d8;7b210070-df61-11e7-97e9-c82a144c0a85
;PTB;;2dd6db55-28c2-4607-8784-d8f45f9e2177;6a688541-b16a-45ca-8aa9-fa700373279f;66a2382f-74fe-42d1-98db-289503096518;caaf4766-2e25-4703-af48-593890fa6f03;7b2139c8-df61-11e7-8d64-c82a144c0a85
;PSD;;2dd6db55-28c2-4607-8784-d8f45f9e2177;6a688541-b16a-45ca-8aa9-fa700373279f;e9ad0d91-4d80-456e-8495-12eddb0bbf7c;7f667e85-39ff-4b19-afce-0c6d42aed49d;7b212d98-df61-11e7-95f7-c82a144c0a85
;PROS;;a287ed45-5fa2-459d-a807-00032c1e5c83;6a688541-b16a-45ca-8aa9-fa700373279f;4f95e50b-9536-47a4-9932-50e67daad821;81ef2ba9-0157-4e49-964a-b7b5a3a97493;7b20e63a-df61-11e7-b49c-c82a144c0a85
;PTN;;a287ed45-5fa2-459d-a807-00032c1e5c83;6a688541-b16a-45ca-8aa9-fa700373279f;cb239780-e9ba-4afc-83f8-3a8c8caa460c;3bb98010-9cc8-471f-9fcd-2f91b6836a34;7b214546-df61-11e7-b9be-c82a144c0a85
;PODE;;a287ed45-5fa2-459d-a807-00032c1e5c83;6a688541-b16a-45ca-8aa9-fa700373279f;194f73ea-3a54-4255-a2da-0c188ef4227b;a0fb5671-4693-4c51-9298-0228d38391ca;7b214350-df61-11e7-b1a0-c82a144c0a85
;PT;;9fa16f07-1fa8-432c-a3e4-6ac61dd14055;6a688541-b16a-45ca-8aa9-fa700373279f;d3aa57b2-cfaa-4dfa-b860-1717dd67d4b5;bf2d8259-2921-4a62-a646-77fc6f00452b;7b2138a6-df61-11e7-baf1-c82a144c0a85
;PMDB;;c5830278-3b13-43b0-8dbd-6b22d04918d2;6a688541-b16a-45ca-8aa9-fa700373279f;615df07b-c0c1-4274-a807-5b065688eaf7;869dd8de-0271-420e-9e45-1e80e206a764;7b210cfa-df61-11e7-9864-c82a144c0a85
;PDT;;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;6a688541-b16a-45ca-8aa9-fa700373279f;12bfc885-fe40-44eb-a3a4-fddcbf27734a;61bfeab4-6e3f-478f-89ef-67e47446bd2c;7b210070-df61-11e7-97e9-c82a144c0a85
;PMB;;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;6a688541-b16a-45ca-8aa9-fa700373279f;025ea180-909f-4ee0-ac0e-06c33bf84c99;1f7745bc-6eb1-4986-9757-347a9fcdc4b0;7b213f54-df61-11e7-9eec-c82a144c0a85
;DEM;;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;6a688541-b16a-45ca-8aa9-fa700373279f;dbe71da7-91c0-4039-838b-f326ba985ecb;2c9e95c2-0578-401d-b43f-0cb0bc3e3860;7b20ed7e-df61-11e7-bb65-c82a144c0a85
;PRB;;01aab937-df9a-4fb6-b751-789b10f77a10;6a688541-b16a-45ca-8aa9-fa700373279f;b5ea2bc0-b2f5-4104-8cd8-aef791ac72b9;8ef13bd8-b720-4a8a-b1b6-f62cff6e639a;7b211b34-df61-11e7-b235-c82a144c0a85
;PCdoB;;05aae140-c7f5-4c84-aa55-fac7d5d6911e;6a688541-b16a-45ca-8aa9-fa700373279f;b29e4ec2-9afb-45b9-8284-52c58f13d066;efe87083-8469-474f-bec1-c8318b21584b;7b20f90c-df61-11e7-a941-c82a144c0a85
;PR;;461af638-907e-4e3d-a786-6208567bae6c;6a688541-b16a-45ca-8aa9-fa700373279f;970adb1e-1f62-492c-baf8-4a3026a12cf8;6857e7f8-0512-4bc3-84c9-6218d28557bc;7b211a38-df61-11e7-b1b8-c82a144c0a85
;AVANTE;;461af638-907e-4e3d-a786-6208567bae6c;6a688541-b16a-45ca-8aa9-fa700373279f;93a6179e-5824-43e0-ab61-dc98914e1f04;802366af-4776-42e3-9c81-cf2522b1b006;7b21444a-df61-11e7-a137-c82a144c0a85
;PSDC;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;6a688541-b16a-45ca-8aa9-fa700373279f;50da2e08-1a21-4cde-a249-b7deb092b114;683a9e83-335b-4705-acea-3e5948d531cf;7b212f8c-df61-11e7-bef6-c82a144c0a85
;PMB;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;6a688541-b16a-45ca-8aa9-fa700373279f;f2f6eec5-6c5b-4c85-997d-5e4cd49edecd;b34aae1c-e194-4e1c-960e-50c2143e38c8;7b213f54-df61-11e7-9eec-c82a144c0a85
;PTN;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;6a688541-b16a-45ca-8aa9-fa700373279f;358e44f3-8cc3-404f-839e-ffddfa1b430e;ef989809-e519-43a4-a107-1982a05c847a;7b214546-df61-11e7-b9be-c82a144c0a85
;PODE;;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;6a688541-b16a-45ca-8aa9-fa700373279f;f2d6c412-de0d-4e67-bee9-4fd3470dbe5f;4b8e6b73-afdf-40ba-84c0-f3a8bafdebce;7b214350-df61-11e7-b1a0-c82a144c0a85
;PT;;f5735090-acbc-4d7b-b4bc-bdcd1c15c92a;6a688541-b16a-45ca-8aa9-fa700373279f;eca1a125-53c0-4e10-96a3-d7e8dd94a388;aa2c9caa-ac92-44ff-8fa7-d3a10d6eb9e0;7b2138a6-df61-11e7-baf1-c82a144c0a85
;PT;;9aba8810-4581-4f77-ac52-73f353b125ad;6a688541-b16a-45ca-8aa9-fa700373279f;1ac35891-1ce0-42f1-9112-34266cf81135;df39973d-9172-437e-94bc-bb023339c498;7b2138a6-df61-11e7-baf1-c82a144c0a85
;PMB;;9aba8810-4581-4f77-ac52-73f353b125ad;6a688541-b16a-45ca-8aa9-fa700373279f;e7e0a0a2-6331-4947-902d-755c6af2dd08;c93e9836-487a-4386-88b1-fd57f4155446;7b213f54-df61-11e7-9eec-c82a144c0a85
;PDT;;9aba8810-4581-4f77-ac52-73f353b125ad;6a688541-b16a-45ca-8aa9-fa700373279f;da899328-da19-46e3-b99e-78badd78c949;bed7a4eb-ecb8-4ae3-9412-2b838769f3a6;7b210070-df61-11e7-97e9-c82a144c0a85
;PSOL;;d327aa35-6715-4841-a8df-e7288a767a03;6a688541-b16a-45ca-8aa9-fa700373279f;3ebf9494-3f55-4cdc-959a-220b82d17831;66921ded-5070-4937-8bca-72e995fab761;7b2132de-df61-11e7-8882-c82a144c0a85
;S.PART.;;d327aa35-6715-4841-a8df-e7288a767a03;6a688541-b16a-45ca-8aa9-fa700373279f;681a0e94-5b2a-473d-8bfc-4a8c0f1cdbcb;9703a2cc-3f1c-4262-bc3a-b486bb6bf30e;7b214aa8-df61-11e7-a515-c82a144c0a85
;PTdoB;;d327aa35-6715-4841-a8df-e7288a767a03;6a688541-b16a-45ca-8aa9-fa700373279f;55d3b895-d275-402a-80a2-9f972b9ae493;634165b4-d3aa-4b3b-9d07-3d07f610d79d;7b213c18-df61-11e7-9e2c-c82a144c0a85
;AVANTE;;d327aa35-6715-4841-a8df-e7288a767a03;6a688541-b16a-45ca-8aa9-fa700373279f;626302eb-f080-4da6-babe-15587586a515;f88da4ca-ee8a-43c8-ae1b-5785942f2291;7b21444a-df61-11e7-a137-c82a144c0a85
