cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
178943;MARCOS BEZERRA RIBEIRO SOARES;MARCOS SOARES;1a2a8c12348380555e510d1e1b6e7de3
178995;ANTONIO ROBERTO RODRIGUES GÓES DA SILVA;ROBERTO GÓES;d756776bc56efce11d2fecee1f4855d0
112437;JOÃO MARCELO SANTOS SOUZA;JOÃO MARCELO SOUZA;de549e980bd660b3b287d5893a2e41a8
160544;JUNJI ABE;JUNJI ABE;955f88ef-358e-46a3-8f8c-a67be902240c
160544;JUNJI ABE;JUNJI ABE;955f88ef-358e-46a3-8f8c-a67be902240c
178836;ALAN RICK MIRANDA;ALAN RICK;3f8ce45065ead34564ffbb987a294be7
160511;ALESSANDRO LUCCIOLA MOLON;ALESSANDRO MOLON;069ec5b7ba726af033923cb2dd8a7340
160511;ALESSANDRO LUCCIOLA MOLON;ALESSANDRO MOLON;069ec5b7ba726af033923cb2dd8a7340
178855;ANTONIO LAZARO SILVA;IRMÃO LAZARO;e2a1159ae4d466b8f25d41f1e76c337c
178960;REMIDIO MONAI MONTESSI;REMÍDIO MONAI;68daee9ed1c1ee57bdb29f180b416adc
131943;Jarbas de Andrade Vasconcelos;JARBAS VASCONCELOS;27cb858867fc9c7dda1840755c51bf94
141553;VANDERLEI MACRIS;VANDERLEI MACRIS;0686f3aacaafeec85d46c3f48ceca6aa
141553;VANDERLEI MACRIS;VANDERLEI MACRIS;0686f3aacaafeec85d46c3f48ceca6aa
141553;VANDERLEI MACRIS;VANDERLEI MACRIS;0686f3aacaafeec85d46c3f48ceca6aa
200153;GEDEAO TIMOTEO AMORIM;PROF. GEDEÃO AMORIM;64d1495b-51b9-4dc2-995c-1db1a751b098
160541;ARTHUR CÉSAR PEREIRA DE LIRA;ARTHUR LIRA;40e0f7ef3222b01fb15dfe1d9227e652
160541;ARTHUR CÉSAR PEREIRA DE LIRA;ARTHUR LIRA;40e0f7ef3222b01fb15dfe1d9227e652
160508;AFONSO BANDEIRA FLORENCE;AFONSO FLORENCE;be2b6bff6bdce7b743c2bc9a46e43282
160508;AFONSO BANDEIRA FLORENCE;AFONSO FLORENCE;be2b6bff6bdce7b743c2bc9a46e43282
160587;FÁBIO RICARDO TRAD;FÁBIO TRAD;d9c58499-2f32-423a-bee0-e90640643f4c
160587;FÁBIO RICARDO TRAD;FÁBIO TRAD;d9c58499-2f32-423a-bee0-e90640643f4c
74478;Luciano Caldas Bivar;LUCIANO BIVAR;4e611c127201f37507eb2e5e1461d3b4
141450;HUGO LEAL MELO DA SILVA;HUGO LEAL;008cf653b53e3d22ea197459325382d2
141450;HUGO LEAL MELO DA SILVA;HUGO LEAL;008cf653b53e3d22ea197459325382d2
141450;HUGO LEAL MELO DA SILVA;HUGO LEAL;008cf653b53e3d22ea197459325382d2
141372;AELTON JOSÉ DE FREITAS;AELTON FREITAS;98911d3cdfdea21f0727f24324716a4c
141372;AELTON JOSÉ DE FREITAS;AELTON FREITAS;98911d3cdfdea21f0727f24324716a4c
141372;AELTON JOSÉ DE FREITAS;AELTON FREITAS;98911d3cdfdea21f0727f24324716a4c
74075;ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE BARBALHO;01d43219370d9829d129f3137ca3ce9e
74075;ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE BARBALHO;01d43219370d9829d129f3137ca3ce9e
74075;ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE BARBALHO;01d43219370d9829d129f3137ca3ce9e
196357;DEJORGE PATRICIO DA SILVA;DEJORGE PATRÍCIO;79978af6ceba742cef5b8d6f2c37efac
66179;NORMA AYUB ALVES;NORMA AYUB;ed3810b6254ad72ae8434b93d8408371
73992;YEDA RORATO CRUSIUS;YEDA CRUSIUS;bfd9474dda2ab2d87cf1b2ac305eedc9
73992;YEDA RORATO CRUSIUS;YEDA CRUSIUS;bfd9474dda2ab2d87cf1b2ac305eedc9
195826;MARCELO JANDRE DELAROLI;MARCELO DELAROLI;f2853fa0fdbb8c2ee9ac74d5bc82001f
81366;LUANA MARIA DA SILVA COSTA;LUANA COSTA;3fdec23ebaea8109310c274518508230
195997;POLLYANA FATIMA GAMA SANTOS;POLLYANA GAMA;f0fe3d3d0d6ea4a8a1bb25f6825d45f2
195866;FRANCISCO VAIDON OLIVEIRA;VAIDON OLIVEIRA;c5c27cf8ec30938bd70521342f41e72b
195278;MOISES DINIZ LIMA;MOISÉS DINIZ;f5c7de8b36b0eb1dea6e09760e7ae237
195143;ANDRÉ AUGUSTO CASTRO DO AMARAL FILHO;ANDRÉ AMARAL;ecd7430dc9804803a538eca2100eb2ec
73934;CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;701fe4c2-b923-4e73-a516-37259a3c2e67
73934;CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;701fe4c2-b923-4e73-a516-37259a3c2e67
73934;CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;701fe4c2-b923-4e73-a516-37259a3c2e67
73934;CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;701fe4c2-b923-4e73-a516-37259a3c2e67
194262;JONES ALEXANDRE MARTINS;JONES MARTINS;5216a0e2af23929c109a75a2b55c1d75
141429;FELIPE CATALÃO MAIA;FELIPE MAIA;949b23d23985a4ef93de4f43d0eff8fa
141429;FELIPE CATALÃO MAIA;FELIPE MAIA;949b23d23985a4ef93de4f43d0eff8fa
141429;FELIPE CATALÃO MAIA;FELIPE MAIA;949b23d23985a4ef93de4f43d0eff8fa
146949;ROSEANE CAVALCANTE DE FREITAS ESTRELA;ROSINHA DA ADEFAL;b5c10ce1699a0f589aa641b8122e2569
146949;ROSEANE CAVALCANTE DE FREITAS ESTRELA;ROSINHA DA ADEFAL;b5c10ce1699a0f589aa641b8122e2569
194261;CAJAR ONESIMO RIBEIRO NARDES;CAJAR NARDES;24b59d74cbd2d06169557b5bbcdfcdf5
171620;RENATO BARBOSA DE ANDRADE;RENATO ANDRADE;c181751762b857da07ffafd0112cfd5c
