slp:resource_uri;rdfs:label;rdfs:seeAlso;skos:prefLabel
828a0e78-b457-47de-8112-a7cce8d24563;Abel Rebouças São José;Abel Rebouças;5573
85e8b745-786b-4782-a8a1-e3b3164a3f22;Abiancy Cadoso Rosa;Abiancy Cadoso Rosa;5154
ec4353b3-c339-42a3-9398-656fcd1f8a7e;Acir Marcos Gurgacz;Acir Gurgacz;4981
e55cf36c-4bcf-48cf-abcd-826cdcab6c2d;Adilson Silva dos Santos;Adilson Silva dos Santos;5625
747bf76f-e5ab-44f2-ac04-1ac812bfe4d5;Agimiro Dias da Costa;Agimiro Dias da Costa;5170
c9d30df7-2240-43fb-bfbf-c06e82c99083;Airton Sandoval Santana;Airton Sandoval;5140
7cfdddbb-14d2-4ec2-aab3-9aaab1c1300f;Alexandre Silveira de Oliveira;Alexandre Silveira;4610
55bc5a4a-e7f0-417b-9f47-dafd3e1f152b;Aloysio Nunes Ferreira Filho;Aloysio Nunes Ferreira;846
427c704b-c7c4-4c16-b2a2-be0c79218745;Alvaro Fernandes Dias;Alvaro Dias;945
8a8dc7ca-fe5e-4217-829b-d0f668ca4b96;Maria Alzenir Porto da Costa;Alzenir Porto;5607
ff3dce76-0bda-4eb6-a36f-370e948a9f92;Alzira Ferreira Barros;Alzira Ferreira Barros;5042
c6a1c366-bd2c-4687-83d7-692ddbe69451;Ana Amélia de Lemos;Ana Amélia;4988
eabcaf73-2beb-4353-a023-4149ebf1d5b4;Andrelina Barbosa da Cunha;Andrelina Barbosa da Cunha;5046
cbc8b45f-ae04-4539-a1ab-048c34c1507d;Antonio Augusto Junho Anastasia;Antonio Anastasia;5529
a4857802-9440-4506-82ca-f30aaa01c6e7;Antonio Carlos Rodrigues;Antonio Carlos Rodrigues;5150
24a26a21-f542-41b3-b5b6-f75512e7cedc;Antonio Carlos Valadares;Antonio Carlos Valadares;3
e5267c6b-b5b9-4638-a01c-5c3a8306b2dc;Antônio Marcos Gavazzoni;Antônio Marcos Gavazzoni;5134
3674dce2-3d4b-4c68-96cd-5cda86863932;Antônio Milton Pessoa Falcão Filho;Antônio Milton Pessoa Falcão Filho;5032
a0c7ac6d-bb8b-4afc-a16b-f62c8ff8384b;Aristavora de Souza Santos;Aristavora de Souza Santos;5168
ba5dbe8b-81b6-430f-a978-8ffb9915462e;Armando José de Oliveira;Armando José de Oliveira;5028
7f149e0f-1888-47c1-8b2f-d8e528513386;Armando de Queiroz Monteiro Neto;Armando Monteiro;715
1e5eb21e-8417-40f6-a752-257a4a0663e0;Ataídes de Oliveira;Ataídes Oliveira;5164
955fe4aa-1b14-4e95-b6ec-923efe50f10d;Athos de Almeida Lopes;Athos de Almeida Lopes;5138
1e75ab82-aabc-4ad3-b9e7-78e82da34b89;Atilio Francisco da Silva;Atilio Francisco;5633
a0878cdb-eaee-4662-8ee1-ac51e771ddc6;Genésio Ayres Marchetti;Ayres Marchetti;5631
d48b4ddb-1f60-4f1f-ac24-55342d073a80;Aécio Neves da Cunha;Aécio Neves;391
ac236e3d-e2de-435c-b851-6baba89f85f8;Benedito de Lira;Benedito de Lira;3823
fe7114b4-7e5f-428c-8e5b-39b78da653ef;Guaracy Batista da Silveira;Bispo Guaracy;5639
51b54acb-1d34-4105-af6d-1d2d419bb6e0;José Afonso Teixeira;Bispo José;5559
db87a81a-c226-401b-be80-05f3cf59e5f9;Blairo Borges Maggi;Blairo Maggi;111
54c2f964-8299-4459-b36d-273baf9fa864;Carlos Augusto Lopes da Costa;Carlos Augusto Costa;5603
a09aced0-44d6-42af-88d5-662d68c28efb;Celso Dal Lago Rodrigues;Celso Dal Lago Rodrigues;5593
40260ab9-9261-46b9-8ab3-3c569dfa8b24;Cesar Antonio de Souza;Cesar Antonio de Souza;5136
da12c43f-62c0-4b52-aa92-8a173618eaab;Francisco Feitosa de Albuquerque Lima;Chiquinho Feitosa;611
ad36f1e7-f24a-4f51-9f44-c45468e0d4a1;Christopher Belchior Goulart;Christopher Goulart;5623
94be5f0e-2cc9-488b-bb32-335a44eb4f1b;José Aparecido dos Santos;Cidinho Santos;5108
59888f36-89fc-40e9-adf7-e95bb4906eb2;Ciro Nogueira Lima Filho;Ciro Nogueira;739
36612ad6-d161-4313-9f6a-c271f7c3767d;Clovis Antônio Chaves Fecury;Clovis Fecury;3881
bd639a33-603c-423e-9cd6-58eaaedea23d;Clécio Luis Vilhena Vieira;Clécio Luis Vilhena Vieira;5044
6cb94dc5-e362-424c-8668-1ec6264116ef;Cristovam Ricardo Cavalcanti Buarque;Cristovam Buarque;3398
