slp:resource_uri;NumeroLegislatura;cam:finishDate;cam:sigla;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;sen:CodigoMandato;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;sen:UfParlamentar;sen:finishDate;sen:startDate
9589fe93-2270-4940-be3c-706111bf6b69;;;;AC;2015-02-01;64965d06-916a-4ef9-a8c7-886055dc979e;22a2ecf6-5f03-4da9-bc89-48319d152403;;;;;;;
e896acb8-0da3-4e4a-b235-355c1a01f7cb;;;;PB;2015-02-01;908bcac7-6fc7-4957-9ae9-00a46ad10a37;dc66ab57-90b8-437b-a29c-aae35cbf2ac1;;;;;;;
30eb6da8-3308-45a0-bfd8-0f6f9884133c;;;;BA;2015-02-01;e4e93a22-8177-400a-8231-2e8ae9d06a12;467f2a3e-6c7b-4234-9f62-27cf83588db0;;;;;;;
76e294dc-7b1a-48d5-8f15-6888f59c42d2;;2017-10-30;;MT;2015-02-01;0a39e693-7990-4118-8637-278d778df124;c2d4abc4-a53c-439b-92af-a529c9edd339;;;;;;;
39df2d4d-6954-4abf-909f-7ab27d22870f;;;;RS;2015-02-01;abf442cf-ef29-40f6-8929-9a4066570ed2;7f059d97-18e2-4053-8116-43636eab4de2;;;;;;;
ec10f162-c563-4433-9387-8415f1b94223;;;;RS;2015-02-01;92f42906-8bf7-4ede-9623-d436a052aa3a;3fe10739-a2c8-40f1-b429-f58f1950a45b;;;;;;;
dc45565d-8c4d-4c06-96ac-22cb3a0c228f;;;;MG;2015-02-01;8b012d6f-1eef-426e-b2af-921d2cb147f1;23ff1598-9e40-4906-bf71-051459ac2010;;;;;;;
05a9bee8-7c33-427e-b5d2-5d0b96a7f17f;;;;PE;2015-02-01;8d0f8273-6da1-42f9-8125-8fb4ab094096;747c9708-46c6-4249-8675-e702b36c5d87;;;;;;;
4ae24afb-27c1-4402-b382-c6cdba7b12f2;;;;SE;2015-02-01;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;05d61f56-f5a6-47db-81c0-1360c131483a;;;;;;;
9f4d98a9-b378-4971-8ea1-bd32ad6d6006;;2015-11-17;;CE;2015-02-01;55df2c80-2de5-4739-b227-bcd41d1ee1f1;54bb5293-1c0c-43b2-932a-ea65f16b96b5;;;;;;;
7ace6835-287b-4a44-b8f6-ba29e65e4f6d;;2015-03-06;;MG;2015-02-01;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;45deb600-6f30-46d9-b134-62e320cbdb23;;;;;;;
2cecb00e-c6aa-4226-8381-7d73083597e6;;2015-08-06;;CE;2015-02-01;afecd733-1fa9-4a4b-b639-5302baec6ad9;3f624545-69b1-4993-8380-31f85317c7b3;;;;;;;
50c00add-7b3c-49b7-bbda-8a046d76e306;;;;BA;2015-02-01;2dd6db55-28c2-4607-8784-d8f45f9e2177;b6f8ed55-5cc9-4b50-86ab-4a3c3623d7c8;;;;;;;
fbd1cc31-eb42-4c9d-ae1b-04d56b2fc83a;;;;AC;2015-02-01;9fa16f07-1fa8-432c-a3e4-6ac61dd14055;6ba5f856-1f4b-426c-b25c-e480834247f6;;;;;;;
6be2bec0-f09c-4261-b554-8b8d86842621;;2016-04-28;;CE;2015-02-01;c5830278-3b13-43b0-8dbd-6b22d04918d2;726b9428-9153-4eac-b0eb-81a45fed0f8b;;;;;;;
