cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
;1954-06-04;160559;ALCEU MOREIRA DA SILVA;ALCEU MOREIRA;
;1938-01-15;173269;AKIRA OTSUBO;AKIRA OTSUBO;
;1954-04-26;74696;ALBERTO PEREIRA MOURÃO;ALBERTO MOURÃO;
;1962-04-25;136811;JOSÉ ALFONSO EBERT HAMM;AFONSO HAMM;
;1950-01-08;178835;AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;
;1956-02-23;73428;JOSÉ ALDO REBELO FIGUEIREDO;ALDO REBELO;
;1961-12-15;141372;AELTON JOSÉ DE FREITAS;AELTON FREITAS;
;1975-09-21;161907;ACELINO FREITAS;ACELINO POPÓ;
;1952-08-25;73764;ABELARDO LUIZ LUPION MELLO;ABELARDO LUPION;
;1960-10-15;160508;AFONSO BANDEIRA FLORENCE;AFONSO FLORENCE;
;1967-03-11;160577;ADRIAN MUSSI RAMOS;ADRIAN;
;1969-02-13;160527;AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;
;1987-02-10;160582;JOSÉ ALBERTO OLIVEIRA VELOSO FILHO;ALBERTO FILHO;
;1944-04-25;174861;AMIR FRANCISCO LANDO;AMIR LANDO;
;1964-05-30;133374;ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;
;1952-03-22;141463;JOSÉ ABELARDO GUIMARÃES CAMARINHA;ABELARDO CAMARINHA;
;1964-05-09;160680;AUDIFAX CHARLES PIMENTEL BARCELOS;AUDIFAX;
;1953-07-27;73655;AUGUSTO SILVEIRA DE CARVALHO;AUGUSTO CARVALHO;
;1955-05-08;141391;ARNALDO CALIL PEREIRA JARDIM;ARNALDO JARDIM;
;1945-12-30;73434;ARNALDO FARIA DE SÁ;ARNALDO FARIA DE SÁ;
;1962-10-22;160665;AUGUSTO RODRIGUES COUTINHO DE MELO;AUGUSTO COUTINHO;
;1970-07-17;123756;ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA;ANTÔNIA LÚCIA;
;1978-10-11;141399;CARLOS DAUDT BRIZOLA;BRIZOLA NETO;
;1950-05-18;160634;FRANCISCO VIEIRA SAMPAIO;CHICO DAS VERDURAS;
;1953-02-11;141439;FRANCISCO JOSÉ D'ANGELO PINTO;CHICO D'ANGELO;
;1963-12-17;179381;CARLOS EDUARDO CARDOSO MARTINS;CARLOS MARTINS;
;1988-04-29;143632;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;
;1957-03-25;160758;DOMINGOS SÁVIO CAMPOS RESENDE;DOMINGOS SÁVIO;
;1972-10-17;141421;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;
;1949-10-19;74171;FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;
;1973-04-18;160552;DANRLEI DE DEUS HINTERHOLZ;DANRLEI DE DEUS HINTERHOLZ;
;1980-03-16;177118;LUIZ EDUARDO FRANCISCO DA SILVA;DUDU LUIZ EDUARDO;
;1947-04-02;73891;DARCÍSIO PAULO PERONDI;DARCÍSIO PERONDI;
;1953-02-09;171782;ERONILDO BRAGA BEZERRA;ERON BEZERRA;
;1958-09-29;74173;EDUARDO COSENTINO DA CUNHA;EDUARDO CUNHA;
;1949-07-18;137983;FRANCISCO LUIZ ESCÓRCIO LIMA;FRANCISCO ESCÓRCIO;
;1962-09-08;178387;FRANCISCO DE ASSIS NUNES;FRANCISCO DE ASSIS;
;1958-08-25;74655;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;
;1969-01-14;179380;GILBERTO COUTINHO FREIRE;GILBERTO COUTINHO;
;1963-11-29;160666;FELIX DE ALMEIDA MENDONÇA JÚNIOR;FÉLIX MENDONÇA JÚNIOR;
;1956-04-21;172029;FRANCISCO DAS CHAGAS FRANCILINO;FRANCISCO CHAGAS;
;1973-12-07;141429;FELIPE CATALÃO MAIA;FELIPE MAIA;
;1961-01-13;173262;JOSÉ ILÁRIO GONÇALVES MARQUES;ILÁRIO MARQUES;
;1955-01-03;73535;JORGE TADEU MUDALEN;JORGE TADEU MUDALEN;
;1967-07-22;74053;JOSÉ HELENO DA SILVA;HELENO SILVA;
;1972-10-08;141458;JOÃO CARLOS PAOLILO BACELAR FILHO;JOÃO CARLOS BACELAR;
;1962-04-21;74395;JOSÉ OTÁVIO GERMANO;JOSÉ OTÁVIO GERMANO;
;1953-12-25;160675;JÂNIO NATAL ANDRADE BORGES;JÂNIO NATAL;
;1954-12-16;73682;JOÃO EDUARDO DADO LEITE DE CARVALHO;JOÃO DADO;
;1955-10-14;74570;JUTAHY MAGALHÃES JÚNIOR;JUTAHY JUNIOR;
;1975-04-01;141482;LEONARDO LEMOS BARROS QUINTÃO;LEONARDO QUINTÃO;
;1951-10-09;74156;JOSÉ LEONARDO COSTA MONTEIRO;LEONARDO MONTEIRO;
;1945-10-23;73716;LEOMAR DE MELO QUINTANILHA;LEOMAR QUINTANILHA;
;1964-12-29;179385;OCIMAR DONIZETI LEO OLIVEIRA;LÉO OLIVEIRA;
;1971-07-23;160510;LUIS HENRIQUE DE OLIVEIRA RESENDE;LUIS TIBÉ;
;1979-11-06;74254;LEONARDO CARNEIRO MONTEIRO PICCIANI;LEONARDO PICCIANI;
;1963-12-22;74368;LEONARDO MOURA VILELA;LEONARDO VILELA;
;1975-05-12;122195;LEONARDO DE MELO GADELHA;LEONARDO GADELHA;
;1962-03-30;160550;LUIZ CARLOS PIETSCHMANN;LUIZ PITIMAN;
;1958-04-09;74688;LUIZ SÉRGIO NÓBREGA DE OLIVEIRA;LUIZ SÉRGIO;
;1978-09-28;179386;MAURICIO LUITGARDS MOURA DE ALMEIDA SILVA;MAURÍCIO ALMEIDA;
;1946-06-25;74745;MARCOS GUIMARAES DE CERQUEIRA LIMA;MARCOS LIMA;
;1949-08-03;141500;MARCOS MONTES CORDEIRO;MARCOS MONTES;
;1964-09-21;160535;DIONILSO MATEUS MARCON;MARCON;
;1966-10-06;146613;MARCELO BELTRÃO DE ALMEIDA;MARCELO ALMEIDA;
;1946-06-30;74634;MARCOS ANTONIO MEDRADO;MARCOS MEDRADO;
;1968-11-07;146307;NERI GELLER;NERI GELLER;
;1952-07-11;160644;ESMERINO NERI BATISTA FILHO;MIRIQUINHO BATISTA;
;1967-12-24;160658;PAULO TADEU VALE DA SILVA;PAULO TADEU;
;1959-10-08;141514;OSMAR RIBEIRO DE ALMEIDA JÚNIOR;OSMAR JÚNIOR;
;1963-06-21;141516;PAULO ABI-ACKEL;PAULO ABI-ACKEL;
;1957-09-15;171617;PAULO FERNANDO DOS SANTOS;PAULÃO;
;1960-05-10;141465;JOSÉ ELEONILDO SOARES;PINTO ITAMARATY;
;1965-03-05;179384;JOSÉ PINTO DE LUNA;PINTO DE LUNA;
;1964-12-28;73943;MARIA PERPÉTUA DE ALMEIDA;PERPÉTUA ALMEIDA;
;1960-12-27;74571;NELSON VICENTE PORTELA PELLEGRINO;NELSON PELLEGRINO;
;1972-09-05;89282;JOSÉ ANTÔNIO MACHADO REGUFFE;REGUFFE;
;1973-04-02;74161;REGINALDO LÁZARO DE OLIVEIRA LOPES;REGINALDO LOPES;
;1944-05-24;73674;ROBERTO EGÍDIO BALESTRA;ROBERTO BALESTRA;
;1973-04-28;141525;REBECCA MARTINS GARCIA;REBECCA GARCIA;
;1966-01-29;160597;ROMARIO DE SOUZA FARIA;ROMÁRIO;
;1976-09-13;76420;RUI SOARES PALMEIRA;RUI PALMEIRA;
;1963-01-18;104254;RUI COSTA DOS SANTOS;RUI COSTA;
2014-03-06;1947-11-09;74435;SEVERINO SÉRGIO ESTELITA GUERRA;SERGIO GUERRA;
;1970-08-17;160635;RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR;RUY CARNEIRO;
;1958-04-27;141542;SÉRGIO IVAN MORAES;SÉRGIO MORAES;
;1952-04-17;141472;JOSÉ RICARDO ALVARENGA TRIPOLI;RICARDO TRIPOLI;
;1956-05-18;160612;SERGIO ZVEITER;SERGIO ZVEITER;
;1957-07-11;160679;TAUMATURGO LIMA CORDEIRO;TAUMATURGO LIMA;
;1950-05-20;141553;VANDERLEI MACRIS;VANDERLEI MACRIS;
;1964-01-16;73930;WLADIMIR AFONSO DA COSTA RABELO;WLADIMIR COSTA;
;1971-11-24;141552;VALTENIR LUIZ PEREIRA;VALTENIR PEREIRA;
;1976-08-26;137853;WADSON NATHANIEL RIBEIRO;WADSON RIBEIRO;
;1954-03-08;160569;WALDENOR ALVES PEREIRA FILHO;WALDENOR PEREIRA;
;1949-11-21;74145;JOSÉ EDUARDO VIEIRA RIBEIRO;ZEZÉU RIBEIRO;
;1945-07-18;74392;ODACIR ZONTA;ZONTA;
;1961-08-15;169868;RAIMUNDO VALRY DE MORAIS;VALRY MORAIS;
;1964-01-22;74376;VANDER LUIZ DOS SANTOS LOUBET;VANDER LOUBET;
;1963-05-11;160632;JOSÉ SILVA SOARES;ZÉ SILVA;
;1952-12-15;160625;JORGE DE OLIVEIRA;ZOINHO;
;1961-02-04;74354;ZENALDO RODRIGUES COUTINHO JÚNIOR;ZENALDO COUTINHO;
;1934-07-30;152607;JOSÉ VIEIRA LINS;ZÉ VIEIRA;
;1959-09-18;73933;JOSÉ DA CRUZ MARINHO;ZEQUINHA MARINHO;
;1972-12-12;74439;WOLNEY QUEIROZ MACIEL;WOLNEY QUEIROZ;
