cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slp:resource_uri
;AC;2015-02-01;64965d06-916a-4ef9-a8c7-886055dc979e;b38f6d89-b8e8-4cd5-bb30-03dd4900ddb9;9589fe93-2270-4940-be3c-706111bf6b69
;PB;2015-02-01;908bcac7-6fc7-4957-9ae9-00a46ad10a37;4e3d84c6-58c2-4ed0-aee3-a5b349cbd5fd;e896acb8-0da3-4e4a-b235-355c1a01f7cb
;BA;2015-02-01;e4e93a22-8177-400a-8231-2e8ae9d06a12;42f273d4-bcf6-4b48-a892-803134c8c73e;30eb6da8-3308-45a0-bfd8-0f6f9884133c
2017-10-30;MT;2015-02-01;0a39e693-7990-4118-8637-278d778df124;af35f7be-05ea-414b-bcfd-4830030f35e8;76e294dc-7b1a-48d5-8f15-6888f59c42d2
;RS;2015-02-01;abf442cf-ef29-40f6-8929-9a4066570ed2;a4dd1872-db99-4542-be87-6c35c3292811;39df2d4d-6954-4abf-909f-7ab27d22870f
;RS;2015-02-01;92f42906-8bf7-4ede-9623-d436a052aa3a;1bfe363a-d32d-4eff-8b03-038d041c86d0;ec10f162-c563-4433-9387-8415f1b94223
;MG;2015-02-01;8b012d6f-1eef-426e-b2af-921d2cb147f1;c5e303a3-c002-4969-a15b-1041f884157d;dc45565d-8c4d-4c06-96ac-22cb3a0c228f
;PE;2015-02-01;8d0f8273-6da1-42f9-8125-8fb4ab094096;47a07f8c-62e7-45a9-8a1a-127722d2bed4;05a9bee8-7c33-427e-b5d2-5d0b96a7f17f
;SE;2015-02-01;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;bf1a07cc-1f3b-402b-9d60-07b0a281ef13;4ae24afb-27c1-4402-b382-c6cdba7b12f2
2015-11-17;CE;2015-02-01;55df2c80-2de5-4739-b227-bcd41d1ee1f1;213a0052-a353-4926-a43e-090cb7029e6d;9f4d98a9-b378-4971-8ea1-bd32ad6d6006
2015-03-06;MG;2015-02-01;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;ed8993b9-c1ec-4c7f-bc64-8ac636a18ec5;7ace6835-287b-4a44-b8f6-ba29e65e4f6d
2015-08-06;CE;2015-02-01;afecd733-1fa9-4a4b-b639-5302baec6ad9;ca6c3bb4-2b19-4572-b7aa-a49d80e52911;2cecb00e-c6aa-4226-8381-7d73083597e6
;BA;2015-02-01;2dd6db55-28c2-4607-8784-d8f45f9e2177;7f9ded50-437a-4852-a8bb-1fe15eb8f011;50c00add-7b3c-49b7-bbda-8a046d76e306
;AC;2015-02-01;9fa16f07-1fa8-432c-a3e4-6ac61dd14055;7bb64d40-ec7b-4e9e-ab6c-7f3527c9134f;fbd1cc31-eb42-4c9d-ae1b-04d56b2fc83a
2016-04-28;CE;2015-02-01;c5830278-3b13-43b0-8dbd-6b22d04918d2;ddfcc61f-8c9e-4349-9df0-b72fec7feb05;6be2bec0-f09c-4261-b554-8b8d86842621
;RR;2015-02-01;12f10ca3-2568-4cbc-ba6a-56a5c799eb2f;5c8ab8b6-4d5d-4b26-b047-ca7621a7fb7e;1e5ee710-0755-4e70-8b3e-6fe65da79237
;SP;2015-02-01;01aab937-df9a-4fb6-b751-789b10f77a10;3e699ad2-a4a2-4294-bd2a-92e2dce0f9f5;f22d6356-08e9-4b8f-b402-be482449d0ab
;CE;2015-02-01;461af638-907e-4e3d-a786-6208567bae6c;4f616ba1-5ca5-4d62-8e11-517934b38ed1;1b1398ee-078b-4416-b1ac-5d011cee2407
;MA;2015-02-01;eff1391c-b46a-4f2e-bfce-65f9eddd3b35;9c47d04a-9578-448c-92c7-e0ec758a8618;68710f6f-b752-4b25-a763-ae7ede159c3d
;PA;2015-02-01;f5735090-acbc-4d7b-b4bc-bdcd1c15c92a;b6cf769e-086a-4fed-98e5-71a34eb3e600;1fa6850d-3c5d-4b4b-a7ac-05c562e6ee7d
;PR;2015-02-01;9aba8810-4581-4f77-ac52-73f353b125ad;3449e492-36f4-4b09-9f7d-fdda8a9e9ce1;bb727462-c702-4fe9-9bbb-c0488a9b46e2
;RJ;2015-02-01;d327aa35-6715-4841-a8df-e7288a767a03;c67c1360-bf51-49dc-8bc4-b1e61a0c2460;65339d02-bb00-466d-bcb9-4150faa58586
;BA;2015-02-01;a3173bb6-fb1e-4ed7-9182-d0f657ff29b7;18797b19-94f4-4a81-84a4-94b84ce31684;d0de0d14-2753-4955-b6f0-4149855e2bd4
