org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PSDB;8f80e666-1bf9-449d-88b3-61f4b976e539
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-05-15;PTB;51a94990-a999-4398-9f79-21c5eb3238de
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2003-05-14;1999-02-01;PMDB;c748a494-9891-4066-9029-14a1b4402ae0
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-02-01;PSDB;c17aee00-caf0-4544-a8e8-f2a2efb4a0ce
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PR;787b212c-b6f6-4808-8b8d-4d1a471a64e5
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PMDB;2fc7e762-49b8-45e8-8bd3-69e80a38943b
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-07-01;PODE;1dc8f0d1-b704-4ee3-a25d-92725cc6fe67
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-06-30;2016-01-11;PV;8058503b-e8e0-42b8-80f0-3bbdb79dc154
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2016-01-07;2003-08-14;PSDB;41b24430-9e84-43a4-a529-62af16f9ecc7
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2003-08-13;2001-09-26;PDT;a0f91814-7387-4f8f-8318-005d4e8f3705
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2001-09-25;1999-02-01;PSDB;b581ec72-3f15-4bfb-9856-8b0d70d9425b
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-01-27;PP;1681e732-f39b-4a8e-b4bf-deb14cc6647b
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1995-10-25;PSB;fb629e73-69fe-475e-82da-578aa07c143c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1995-10-24;1995-02-01;PP;f6d07240-4adf-4a2f-87ff-19f9b849148f
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2003-02-01;PMDB;b1d4866c-54c5-4073-adc4-989b49b45094
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1994-12-19;1991-02-01;PMDB;07fe9980-a8bd-4b4e-b4d4-6b3ccb1d191d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;DEM;932c17e7-223a-49a7-8584-f2ddf7cf673a
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2009-11-05;PDT;962e62a4-f672-4430-aa12-22f2e8afd241
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2016-03-28;PTC;b8dd7af5-f350-420b-b87a-26ea80085758
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2016-03-27;2007-02-06;PTB;67b61833-0a09-4547-b63a-c70ff86c0dc5
