cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:role;slp:resource_uri
;2015-02-01;AC;64965d06-916a-4ef9-a8c7-886055dc979e;b27beba7-ca02-4041-a9e0-1793bcd141fe;9589fe93-2270-4940-be3c-706111bf6b69
;2015-02-01;PB;908bcac7-6fc7-4957-9ae9-00a46ad10a37;b27beba7-ca02-4041-a9e0-1793bcd141fe;e896acb8-0da3-4e4a-b235-355c1a01f7cb
;2015-02-01;BA;e4e93a22-8177-400a-8231-2e8ae9d06a12;b27beba7-ca02-4041-a9e0-1793bcd141fe;30eb6da8-3308-45a0-bfd8-0f6f9884133c
2017-10-30;2015-02-01;MT;0a39e693-7990-4118-8637-278d778df124;b27beba7-ca02-4041-a9e0-1793bcd141fe;76e294dc-7b1a-48d5-8f15-6888f59c42d2
;2015-02-01;RS;abf442cf-ef29-40f6-8929-9a4066570ed2;b27beba7-ca02-4041-a9e0-1793bcd141fe;39df2d4d-6954-4abf-909f-7ab27d22870f
;2015-02-01;RS;92f42906-8bf7-4ede-9623-d436a052aa3a;b27beba7-ca02-4041-a9e0-1793bcd141fe;ec10f162-c563-4433-9387-8415f1b94223
;2015-02-01;MG;8b012d6f-1eef-426e-b2af-921d2cb147f1;b27beba7-ca02-4041-a9e0-1793bcd141fe;dc45565d-8c4d-4c06-96ac-22cb3a0c228f
;2015-02-01;PE;8d0f8273-6da1-42f9-8125-8fb4ab094096;b27beba7-ca02-4041-a9e0-1793bcd141fe;05a9bee8-7c33-427e-b5d2-5d0b96a7f17f
;2015-02-01;SE;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;b27beba7-ca02-4041-a9e0-1793bcd141fe;4ae24afb-27c1-4402-b382-c6cdba7b12f2
2015-11-17;2015-02-01;CE;55df2c80-2de5-4739-b227-bcd41d1ee1f1;b27beba7-ca02-4041-a9e0-1793bcd141fe;9f4d98a9-b378-4971-8ea1-bd32ad6d6006
2015-03-06;2015-02-01;MG;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;b27beba7-ca02-4041-a9e0-1793bcd141fe;7ace6835-287b-4a44-b8f6-ba29e65e4f6d
2015-08-06;2015-02-01;CE;afecd733-1fa9-4a4b-b639-5302baec6ad9;b27beba7-ca02-4041-a9e0-1793bcd141fe;2cecb00e-c6aa-4226-8381-7d73083597e6
;2015-02-01;BA;2dd6db55-28c2-4607-8784-d8f45f9e2177;b27beba7-ca02-4041-a9e0-1793bcd141fe;50c00add-7b3c-49b7-bbda-8a046d76e306
