org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
85e8b745-786b-4782-a8a1-e3b3164a3f22;d071b5be-0d81-4d91-a766-990c1599993f;;2015-02-01;PDT;0577ae6b-9fa4-4ff0-ac19-9dd5cd3598d1
85e8b745-786b-4782-a8a1-e3b3164a3f22;c39a8c03-4119-41b9-b904-0a76a45a3c14;;2004-02-14;PP;b2ec603a-26b8-4e59-8a59-624d2f0973ac
85e8b745-786b-4782-a8a1-e3b3164a3f22;01e8b2ab-0196-4b4c-9127-579e6962f6ce;2004-02-13;1999-02-01;PFL;3cf1400f-9fe7-4552-99ac-d0a4a52a1510
85e8b745-786b-4782-a8a1-e3b3164a3f22;e2756b98-c268-46f0-a731-5cbe03f1aeb4;;2011-02-03;PR;da9f5ea7-2636-4240-af94-94e0df597ae9
85e8b745-786b-4782-a8a1-e3b3164a3f22;4b5f4cfb-c5f8-4571-90a8-541447aa1a62;;2011-02-03;DEM;89a85f62-3dce-499c-a72a-0917f5bf5240
85e8b745-786b-4782-a8a1-e3b3164a3f22;0a334ea6-40e3-4f9e-a1ed-dae1e4f0a92e;;2015-02-01;PDT;5d602564-ea0f-4b99-86fe-7ed822778f85
85e8b745-786b-4782-a8a1-e3b3164a3f22;4839f7d8-467b-49ff-9336-464be06a33ad;;1999-02-01;PSDB;70e5af79-d369-4e74-b4ad-4decab26ef97
85e8b745-786b-4782-a8a1-e3b3164a3f22;70b84c2d-dcb2-4f59-8bd4-3c916658c8c2;;2015-02-01;PV;27187447-24a0-4e48-900d-5207e5ce37f5
85e8b745-786b-4782-a8a1-e3b3164a3f22;3c1f2b32-0aa3-4294-982b-b1f0abba5830;;2015-02-01;PMDB;3bd6d232-08e8-4654-acdb-a46a77de65ba
85e8b745-786b-4782-a8a1-e3b3164a3f22;b8458b19-1378-45b2-ae50-dd7df753cc03;;2011-01-27;PR;5401befb-466d-4949-890c-5969d74233e2
85e8b745-786b-4782-a8a1-e3b3164a3f22;5b362abd-706d-4ba4-80dd-1c95cf55d32c;;2015-02-01;PSC;1bde4f42-c239-45fe-a764-63a199d51464
85e8b745-786b-4782-a8a1-e3b3164a3f22;27eda5ba-2aab-46d9-89de-efd88eb20e26;;2015-02-01;PSD;1a7c58a5-044d-46ca-ad5f-6720401af1a6
85e8b745-786b-4782-a8a1-e3b3164a3f22;dff391bd-0e83-4b5e-9fec-cb9742b5fcfd;;2003-06-02;PP;d33c0fe9-6fb3-4aed-b165-ad6322c9a9d6
85e8b745-786b-4782-a8a1-e3b3164a3f22;da9aa87b-7c9a-4d05-a7cb-8ebe93b93f33;2003-06-01;2003-04-08;PPB;a18eb2af-feb2-4efc-aadd-679632f1ef9d
85e8b745-786b-4782-a8a1-e3b3164a3f22;559e30ee-aa1a-4453-8e46-dd02df98858e;2003-04-07;2003-02-01;PTB;6ad6adf3-8c57-4e8b-af56-94a4a7cd1456
85e8b745-786b-4782-a8a1-e3b3164a3f22;765576ca-eda6-4f6c-bcd9-cf77ff0fed2a;;2015-02-01;PSD;1d14da80-1ea2-4935-9dc3-a3cdb75ab8ab
85e8b745-786b-4782-a8a1-e3b3164a3f22;58812a43-f416-49e5-944a-f22963cfd7aa;;1999-02-01;PSDB;1e0560dc-a43f-4c4c-8054-b4bc6abcba50
85e8b745-786b-4782-a8a1-e3b3164a3f22;986945a7-6542-41d6-ad5a-e987886effde;;2015-02-01;PRB;98cfd849-495a-491a-9edd-6737bc28f93d
85e8b745-786b-4782-a8a1-e3b3164a3f22;0bfb2b76-d326-49e4-b67b-12a054b96f81;;2011-02-03;PMDB;0bc391dd-d68d-4ac5-b63d-ac9d0befd523
85e8b745-786b-4782-a8a1-e3b3164a3f22;4681fbf3-7d3a-45a6-8554-8e13c4f97861;;2011-02-03;PT;8da8e9e2-58ab-4e79-aa1e-8a6ddc4251f2
85e8b745-786b-4782-a8a1-e3b3164a3f22;cf77d0e8-4bda-4852-af04-c59012c700e7;;2017-04-17;PDT;52ebd4e9-82aa-4721-8a46-aa0b030fec3a
85e8b745-786b-4782-a8a1-e3b3164a3f22;527a499c-d6c2-48ae-ad88-dae502bce912;2017-04-14;2007-03-15;PT;3893d4d8-373e-4c5f-8a0d-61f94430b751
85e8b745-786b-4782-a8a1-e3b3164a3f22;379ff7f0-9c36-4c73-9aee-b5d9ba85e985;2007-03-14;2007-02-01;PTC;e674f22c-16a8-4e47-b30d-5619c06f13a3
