slp:resource_uri;rdfs:label
33e2fb32-1693-4102-89a0-6130e5358ca0;Deputado
3ad71db8-3725-4459-8b55-0216bc6584e4;Deputado
ef7fa2e5-e217-4653-a68a-2edc03859bda;Deputado
0cd79b0b-1f6c-4be0-be6b-a629b294c2da;Deputado
49260cde-d727-4875-8c0c-5821b7a4ccfd;Deputado
8d982fe7-d077-4d5f-b9c6-8c5070c13a4f;Deputado
36f03450-fae7-4a1e-b9cb-51f8d8068e7c;Deputado
f52dfaea-e8ec-43cf-a0fe-b6e9117826c2;Deputado
cbd77a36-411a-4703-b943-75cfc69f9d04;Deputado
19645333-4561-43d3-bc96-9acc2ea84e3e;Deputado
8ed41d42-096f-40fb-a5e7-b74750717382;Deputado
6c9e5e08-5d6a-4226-a340-de51f140a628;Deputado
faaf1072-7186-4a7d-9493-d506f7c0faac;Deputado
077ed1a8-a382-44d5-923a-297fb8705151;Deputado
63863a4c-7ae1-499e-a486-ebae5a51e32c;Deputado
ce780641-40c2-47bf-b5b8-00c2c60ad899;Deputado
a8922500-bda8-42ba-afe3-b762f5536a88;Deputado
cb94d458-541f-41fe-94b8-771a77710691;Deputado
e9d1b58d-abf7-4f48-9537-8e1272368ef1;Deputado
9287d7a5-0ea5-4d51-bc05-afa33ffe09c7;Deputado
b3ccc3d7-dc11-4459-b614-a56e681ea6c8;Deputado
74dfe9c4-bb20-4d6a-8e2b-8f265d7ed563;Deputado
8e83d743-cbf0-459e-9015-b6c29095c4a9;Deputado
a040e02d-a81a-4357-aace-860218285d51;Deputado
70b686cc-1d26-404d-9aab-466cc82e32d7;Deputado
991a34a4-8ef8-4e56-afb2-71fe58ab9535;Deputado
639180bc-899f-44ee-8770-5b25cf2e9ef2;Deputado
7f6a65c2-8994-4e36-ab25-b8e8e0f5cc65;Deputado
317171c9-7578-419d-9f48-db943d9cdfe0;Deputado
20a2fdef-5222-421b-a827-051e3b3b2df5;Deputado
a00825b7-fd58-463f-8970-6b42954ed70d;Deputado
53b368cb-09ce-40da-9c23-cc6f86b1f01f;Deputado
53e16cfe-6524-4cdc-beb6-036bc9902901;Deputado
9c5a7342-f90d-4a32-a37d-53634312b0b0;Deputado
0ad36502-3e90-402d-8b4f-781e4678c876;Deputado
71b8b31a-a361-472f-9192-3a0b8b8d3193;Deputado
ff57cfbe-b97e-4165-9d2f-bc572f9cc5bc;Deputado
e3214dce-6b08-43eb-898a-4909cbc1d145;Deputado
c4f6be2a-f8ad-47a0-bcd1-c517280e296d;Deputado
401661cd-d783-44bc-9ea8-4dfe6436e081;Deputado
38fcadab-d81d-4a4b-a3a9-5e7a8d3095c7;Deputado
68cb3113-7e1e-4749-8491-21054f7da662;Deputado
9e2c5ebe-b070-48cc-9cd4-21101d91d41e;Deputado
3c5eaf0a-b0be-4923-a56b-11cc953b948f;Deputado
e8cedb8b-c6cd-44df-a3a0-760fa1e234c9;Deputado
20b067a5-8572-4c36-84b4-d8f3cb1ba5c6;Deputado
28422aec-7447-461e-ae86-e88137ca6687;Deputado
0fac146d-5e70-4011-82bf-0d0996afa311;Deputado
94341c27-2405-4dbb-b778-a632937cb234;Deputado
14c12db4-b2be-405f-b033-f74b0571b0ca;Deputado
ee440a7e-aac4-4537-a102-378719ba2645;Deputado
12505171-25d8-48f5-b77d-81da843b64f6;Deputado
36e823ee-9193-4039-849a-457cecf50651;Deputado
08591949-868e-43cd-a4f9-dd3c612df506;Deputado
200c5869-d9d0-4851-9273-c3a4be746b89;Deputado
93be72ed-c183-4e78-8460-e55156f39798;Deputado
de2b132f-cbc3-44a8-b7dd-122d865c9c8f;Deputado
7fcd741c-c120-44e8-96ba-4578f793e4ba;Deputado
c559f2f6-7bde-4ba2-b4b2-f090b5ae7fc9;Deputado
a138478b-b103-4ac4-984e-41e4238054d6;Deputado
1aefc700-8306-4d25-9b8a-b19b41b029b1;Deputado
9d95de3e-3985-4fff-a9b3-7bcd0da9d25c;Deputado
2bb66725-16b2-4f7d-ba27-b5e82a82623b;Deputado
d5e26e8e-03e0-415e-97a5-858b9d31a3b2;Deputado
2c398469-dbfc-444e-b9ee-25bda7f2da8b;Deputado
3fe9ecfa-cc27-4eeb-a781-e1f1beb04e90;Deputado
b95f6323-4c94-4c7c-9b12-657d5d58c39d;Deputado
5c11f16c-8d63-4ced-8220-7749aa0475a6;Deputado
71f0e197-1afb-4d7e-840a-0b0476e01fcc;Deputado
e5b7f3f9-ee86-4640-90d6-d13669005861;Deputado
f33c6a97-1d70-4df9-a866-89aaee885e02;Deputado
511bfce7-73e0-46fc-b52a-69af262e0d71;Deputado
7bc799e1-5d29-406d-915b-9c56973277c8;Deputado
dd1f3437-b036-49bd-b91e-2394fbce7ee8;Deputado
c3d7924b-922f-493d-898b-715a7059f75d;Deputado
a61d813a-7678-401e-b056-42e6729cc7f4;Deputado
84d1aab3-c519-47ad-8610-c2bb40100e03;Deputado
f712b82c-3b9a-4438-9e01-66bcc1d6a47f;Deputado
05e66ba1-6855-4b46-9126-8aea6f75ba99;Deputado
3d08b98a-7c34-4fb7-80b1-f72ef724dd39;Deputado
d50a73f3-239b-447e-bff5-d3cd95c3c946;Deputado
c7ba204c-3e0c-4a04-8a63-ba798c135b2d;Deputado
7a02ba8c-bed4-479d-9a2c-f8e9c699390f;Deputado
c9b7c6a7-27a1-4d28-b539-5130080e9ba8;Deputado
b19f7941-b382-4b31-b68a-48feb61b51b1;Deputado
e744b349-c0ee-4e08-a3c0-49d023885f58;Deputado
421c7b58-6e9b-46a9-91f5-af6960d7a996;Deputado
a51b8f76-ebd8-4bd2-82fa-04390657e43e;Deputado
b27a7707-a5d8-4d96-bbd8-6386877c765e;Deputado
4a578709-1681-449b-9fc5-b5672ae53795;Deputado
c7e3d9f7-d147-4bbf-aa5f-79ebb1854c7b;Deputado
89a6e0a5-8f2f-420c-be1c-c916b97907d8;Deputado
e262584d-d093-419c-8c13-403221b8ae35;Deputado
e5530691-3dfb-422d-ad63-c757c4610837;Deputado
26eaf98a-153f-4331-9775-adf192d10f6d;Deputado
4795708f-861c-4986-96ee-5276463f81fb;Deputado
ddfaa337-65c7-454f-8ff9-640ae8294aed;Deputado
2655e1e8-f396-477f-a87f-4061b59afba2;Deputado
86f77590-4cc6-429a-a342-3104db7223be;Deputado
e8fc90a9-b804-4905-9449-7b3eb72e0b1c;Deputado
668f785c-7921-4d6b-8ff4-913f511bb62f;Deputado
1b19211e-a197-402b-ab4a-b42b6098e11d;Deputado
a3b6e353-9d6d-47df-be89-44f1fcf3774b;Deputado
