cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:post;org:postIn;org:role;slp:resource_uri
;2015-02-01;AC;64965d06-916a-4ef9-a8c7-886055dc979e;9137bedc-bfa2-4970-b850-db7b87e0aff5;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;9589fe93-2270-4940-be3c-706111bf6b69
;2015-02-01;PB;908bcac7-6fc7-4957-9ae9-00a46ad10a37;92297798-4a19-43b6-91f2-3fd225f28e53;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;e896acb8-0da3-4e4a-b235-355c1a01f7cb
;2015-02-01;BA;e4e93a22-8177-400a-8231-2e8ae9d06a12;32a731b3-5b27-4da6-9f10-eca8cf8bc1cc;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;30eb6da8-3308-45a0-bfd8-0f6f9884133c
2017-10-30;2015-02-01;MT;0a39e693-7990-4118-8637-278d778df124;310f1206-d2c9-4797-af00-3ff1c8741cd9;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;76e294dc-7b1a-48d5-8f15-6888f59c42d2
;2015-02-01;RS;abf442cf-ef29-40f6-8929-9a4066570ed2;573cd851-b2cb-4362-afff-9ccc331e73d9;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;39df2d4d-6954-4abf-909f-7ab27d22870f
;2015-02-01;RS;92f42906-8bf7-4ede-9623-d436a052aa3a;36ad42a8-d02d-48a3-892c-ef052b203a23;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;ec10f162-c563-4433-9387-8415f1b94223
;2015-02-01;MG;8b012d6f-1eef-426e-b2af-921d2cb147f1;2e5324fe-f81a-4694-b3eb-df560677d461;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;dc45565d-8c4d-4c06-96ac-22cb3a0c228f
;2015-02-01;PE;8d0f8273-6da1-42f9-8125-8fb4ab094096;546daa4e-def5-4bcf-b56f-026fad611c68;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;05a9bee8-7c33-427e-b5d2-5d0b96a7f17f
;2015-02-01;SE;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;e06ccba7-4549-4c18-b7c2-f199193c15b7;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;4ae24afb-27c1-4402-b382-c6cdba7b12f2
2015-11-17;2015-02-01;CE;55df2c80-2de5-4739-b227-bcd41d1ee1f1;92d1306a-0fc4-4438-bc4d-4039d56863fe;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;9f4d98a9-b378-4971-8ea1-bd32ad6d6006
