cam:dataFim;cam:dataInicio;cam:sigla;org:member;org:post;org:postIn;org:role;slp:resource_uri
;;PRB;64965d06-916a-4ef9-a8c7-886055dc979e;328b3a12-d3f7-499a-879f-8c179ddb12c6;7b211b34-df61-11e7-b235-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;fe42e2cd-dfab-43be-be18-cb88180637fe
;;DEM;64965d06-916a-4ef9-a8c7-886055dc979e;51ffcb0c-0b54-468e-a6af-686e219ca455;7b20ed7e-df61-11e7-bb65-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;db643c02-6940-41c0-b668-fee9d4ae20b4
;;PP;908bcac7-6fc7-4957-9ae9-00a46ad10a37;2dfb4948-cec3-40a7-b38d-522e172f692c;7b21152e-df61-11e7-bdcf-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;f5193800-cd60-453b-b9c2-add0ec7f27d3
;;PMDB;5ff9cfe9-2fee-47b6-b7ac-a1cb282236be;afe6c320-e190-471f-9984-96cd68859d29;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e6279cfe-789b-49c5-959a-49f14bea2571
;;PT;e4e93a22-8177-400a-8231-2e8ae9d06a12;22e5eb10-0c65-47a4-a344-93f271b0fbeb;7b2138a6-df61-11e7-baf1-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;3bc84a72-bbf1-4cda-8833-7e94d7c8b234
;;PSB;0a39e693-7990-4118-8637-278d778df124;dc514714-e466-4856-8d8b-fca4fe97e805;7b212b86-df61-11e7-9f98-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;f66c069d-a9e5-4d3e-bec6-9b4da1aa7683
;;S.PART.;0a39e693-7990-4118-8637-278d778df124;fd2617d8-57ba-4e5c-9d80-aa0c2eebe049;7b214aa8-df61-11e7-a515-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;bba07c8f-d6bd-4219-97b9-d6edb1a5297d
;;PRB;0a39e693-7990-4118-8637-278d778df124;3f505c56-29a8-4d2e-95ef-9d4bdd2cc978;7b211b34-df61-11e7-b235-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;a10f58f3-e299-4a69-a02d-1437f2f9c928
;;PP;abf442cf-ef29-40f6-8929-9a4066570ed2;79a44e41-5f81-4455-9ccd-20aa8ec15f49;7b21152e-df61-11e7-bdcf-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;b608cd5e-0d51-44c5-9b07-fd67420399ae
;;PDT;92f42906-8bf7-4ede-9623-d436a052aa3a;058c2ab9-f1d9-4097-a177-4a90368243c7;7b210070-df61-11e7-97e9-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;8bd6f8ab-e983-4f42-bc5e-f813f6a486a8
;;PR;8b012d6f-1eef-426e-b2af-921d2cb147f1;976647cb-1769-4251-a1d3-d664d72e30e7;7b211a38-df61-11e7-b1b8-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;9943194b-ef77-4712-9cdf-08342c746c37
;;PSDB;0cad898e-314c-42ee-9bbb-5ce1578ba9dd;39aa88cb-cc10-4fc6-9967-254c5edbfdfd;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;7894e233-87ae-4294-8699-25e1380de122
;;PTB;8d0f8273-6da1-42f9-8125-8fb4ab094096;ed47015d-0ccf-49e9-bc64-a5420f8cea82;7b2139c8-df61-11e7-8d64-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;9c3208d0-fb82-4110-94e9-95987afad269
;;PMB;8d0f8273-6da1-42f9-8125-8fb4ab094096;675c7092-04a6-409a-abb0-5df615d69067;7b213f54-df61-11e7-9eec-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;866384b9-6329-40d0-b08e-c8ee31ad6efb
;;PTdoB;8d0f8273-6da1-42f9-8125-8fb4ab094096;07940733-e7de-48a2-bcf5-15bbf7a2bb36;7b213c18-df61-11e7-9e2c-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;b3351af8-5738-4891-ac5a-114107554112
;;PTB;8d0f8273-6da1-42f9-8125-8fb4ab094096;1ac8d451-06a6-49c1-9304-e71c9ee799a2;7b2139c8-df61-11e7-8d64-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;d67e1afa-5d1f-44ee-95b2-d7a2f884e6e7
;;PTdoB;8d0f8273-6da1-42f9-8125-8fb4ab094096;e81bb0a7-1f0d-45ab-8341-271f1d5099bd;7b213c18-df61-11e7-9e2c-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;5372a597-fdec-46f3-bd8c-500833303eea
;;AVANTE;8d0f8273-6da1-42f9-8125-8fb4ab094096;41c4587d-c7d6-41ac-bd6d-bf69c3c5bb4d;7b21444a-df61-11e7-a137-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;601f22c4-126d-4bf0-8462-beb095213c2c
;;PTB;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;15c23164-2a36-4dce-b224-1bd9eb0de58f;7b2139c8-df61-11e7-8d64-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;f7f70067-bff3-4552-89db-dcacb9547fc9
;;PR;fd86d643-1fd8-426e-a8df-cd68d2ec79b9;246544f5-226f-43bb-8aa6-27d8c85b7904;7b211a38-df61-11e7-b1b8-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e1438710-b2f0-49f0-b0d7-97b1df31679a
;;PHS;55df2c80-2de5-4739-b227-bcd41d1ee1f1;e6f796eb-1064-4863-842b-367b54459498;7b2107c8-df61-11e7-a617-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;170df798-6c30-4923-a26c-f16391c172b4
;;S.PART.;55df2c80-2de5-4739-b227-bcd41d1ee1f1;f7d0699d-af1d-4724-a537-a82a0fc816cb;7b214aa8-df61-11e7-a515-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;4f20aeff-b474-4c23-a523-5b4114e062b5
;;PP;55df2c80-2de5-4739-b227-bcd41d1ee1f1;67d7c63f-8a7a-4081-bfc6-137ac119ed22;7b21152e-df61-11e7-bdcf-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;812da4b3-77ea-4228-aee1-083b9628b8d7
;;PT;cc98fbfb-234a-4cac-98f7-2b45bdfdd530;f3c2f21f-d86c-4ed4-ad2d-8ba25a8a662a;7b2138a6-df61-11e7-baf1-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;c11b6e40-94f9-4ede-848f-0f6f3300b533
;;PROS;afecd733-1fa9-4a4b-b639-5302baec6ad9;77fa88b3-7e20-4c46-848f-e366317e2d10;7b20e63a-df61-11e7-b49c-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;153e18d7-3368-41ea-a291-e1e21c68cd8a
;;PDT;afecd733-1fa9-4a4b-b639-5302baec6ad9;bbba201e-89f4-4533-9830-277ecb487f5a;7b210070-df61-11e7-97e9-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2abd0932-a4ef-4ac0-bb5e-b622752e5e2f
;;PTB;2dd6db55-28c2-4607-8784-d8f45f9e2177;56f7f5d7-acc7-41ba-959d-74594fccc596;7b2139c8-df61-11e7-8d64-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;66a2382f-74fe-42d1-98db-289503096518
