DataFim;DataInicio;NumeroLegislatura;org:role;sen:CodigoMandato;sen:UfParlamentar;slp:resource_uri
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;492;BA;61e28c9c-c93b-40fc-a73d-3a963632df24
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;492;BA;669716c0-cf09-4d77-896b-8497c3943b34
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;458;PI;869d897d-3ab6-448a-ba58-8c18a2aa4421
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;458;PI;155310d6-40c8-4c04-9234-6f312193b877
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;456;MT;3e9c9056-8f75-4d44-b5a3-da45f12caa33
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;456;MT;e87b16a7-9695-4072-af09-15342fe1c818
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;466;SC;e7a67ca5-5d26-43de-8a74-b06c2f4559d7
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;466;SC;04142e20-ac6e-44ac-81ca-1cdc313f4807
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;497;RS;cb997e0f-2b9c-4adb-8377-fcc5912fe85d
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;497;RS;9e52e9b6-1dab-4862-9b2c-8807140fda55
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;512;CE;8a7204e1-03fe-4286-aed1-e3c0c946c0bf
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;512;CE;b408db76-3587-4c7f-b369-cb17f01de383
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;519;PE;0d5b4e82-9ff2-408a-9f45-268e17cc1c37
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;519;PE;289a2848-f205-4831-bef2-81e8e873ecdf
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;494;MS;10393074-6d9c-4016-a9af-3055e6f8e539
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;494;MS;5c692980-d947-4dcd-9425-fd3bbca42552
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;456;MT;01b4667b-32ae-487c-9156-a595c0e98b59
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;456;MT;6d5e28f4-1eeb-497d-8556-a59566e9beda
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;500;AC;56374615-4a2e-413a-8acb-07a93dbf36d6
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;500;AC;5dd6ab49-0e2f-48a2-b882-fa1486d0c191
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;518;TO;2ce24034-b8a8-40fe-8eda-e0cbd667ac3c
2023-01-31;2019-02-01;56;d69fcc38-21a6-41ee-8c0f-90be24aff805;518;TO;0e9b4b06-c456-4fda-8646-f41bbb20b2bf
2015-01-31;2011-02-01;54;d69fcc38-21a6-41ee-8c0f-90be24aff805;457;AL;7c23a0d7-d36d-4a38-b08d-1a481f1c9825
2019-01-31;2015-02-01;55;d69fcc38-21a6-41ee-8c0f-90be24aff805;457;AL;67f057c3-b3f8-46e8-876a-6dbdf2ea4edf
