org:hasMember;org:role;slp:resource_uri;time:finishDate;time:startDate
ba586997-d2ed-4799-8f59-2a9c8d11f16b;b27beba7-ca02-4041-a9e0-1793bcd141fe;6b1651f1-f205-4840-b3d1-d64166fd2b51;2017-10-30;2015-02-01
ba586997-d2ed-4799-8f59-2a9c8d11f16b;b27beba7-ca02-4041-a9e0-1793bcd141fe;27cd6717-1dfc-425a-acb8-547e9fbaf7ba;;2018-02-28
cac2beba-01c8-4c9a-a96f-4ed943b19515;b27beba7-ca02-4041-a9e0-1793bcd141fe;fc88e06c-3569-48a1-898d-69cea8b53813;2017-08-02;2015-04-09
cac2beba-01c8-4c9a-a96f-4ed943b19515;b27beba7-ca02-4041-a9e0-1793bcd141fe;0e1d10d5-b34b-4a41-a126-87abbd54a14f;2017-10-20;2017-08-03
cac2beba-01c8-4c9a-a96f-4ed943b19515;b27beba7-ca02-4041-a9e0-1793bcd141fe;e7fcd62a-6e99-49f5-b61c-9d84db38f9eb;;2017-10-26
cc761ac6-6689-4837-89b5-9308eef7f12d;b27beba7-ca02-4041-a9e0-1793bcd141fe;775b1a7e-352f-4a90-afb3-a65e23144ada;;2015-02-01
248c58a8-f41b-437b-9493-070734f3a9b3;b27beba7-ca02-4041-a9e0-1793bcd141fe;c0229bd6-5805-4804-a5c8-b68a8b24ad3b;;2015-02-01
88a78236-efe1-4819-a179-af2e1da7ce9f;b27beba7-ca02-4041-a9e0-1793bcd141fe;5ae29e0d-939e-497b-b885-58f1b4224ed0;2017-05-23;2017-01-02
18bd5710-bbe6-4c3e-a17b-b515300ac64d;b27beba7-ca02-4041-a9e0-1793bcd141fe;521898dc-55e6-4d01-95de-b2ddae3b803d;2015-11-17;2015-02-01
18bd5710-bbe6-4c3e-a17b-b515300ac64d;b27beba7-ca02-4041-a9e0-1793bcd141fe;46d4d885-d309-4bfe-9042-3f17f2650ffd;;2016-04-15
0912484c-149c-41f9-bf3c-964cb54ca9c7;b27beba7-ca02-4041-a9e0-1793bcd141fe;e33fa32e-2943-4c78-8c96-97b54c397718;2015-03-06;2015-02-01
0912484c-149c-41f9-bf3c-964cb54ca9c7;b27beba7-ca02-4041-a9e0-1793bcd141fe;7def4c48-4ccb-4385-a80b-5600514f9027;;2015-03-06
361f0b83-401c-48fe-9acf-ea964f7e022d;b27beba7-ca02-4041-a9e0-1793bcd141fe;f360a471-7dfb-41db-b6f1-a172c8f553db;;2015-02-01
234b02aa-febb-4e63-aba7-7f481f9e2063;b27beba7-ca02-4041-a9e0-1793bcd141fe;9da126c3-67c1-4dcc-bc6a-350fc7a18f04;;2015-02-01
6b78cb6c-7715-4632-bbf0-7af1f6dfe2e4;b27beba7-ca02-4041-a9e0-1793bcd141fe;f3d02130-9143-43b5-8efd-878e88eb50c7;;2015-02-01
f42ced1d-3c63-4f68-91af-733c61b831a5;b27beba7-ca02-4041-a9e0-1793bcd141fe;6ae416aa-02a0-464f-a42e-1577e28d4db7;;2015-02-01
326c99db-cc33-478c-a919-60a047022f5f;b27beba7-ca02-4041-a9e0-1793bcd141fe;3dfe7e5e-fc13-4094-ae60-6fa298690689;;2015-02-01
c7a9b0af-83e8-46c2-b652-820d86303dcc;b27beba7-ca02-4041-a9e0-1793bcd141fe;8c8296e5-a5d9-454d-b2ae-132c0f07e84c;;2015-02-01
4f885f56-c35e-4314-b7fe-d4593f82d7fd;b27beba7-ca02-4041-a9e0-1793bcd141fe;4e4c0039-ab17-4a46-b2a3-96c95d02987b;;2015-02-01
41e0c163-cc6c-4ad3-a146-fbd7dd5b6a55;b27beba7-ca02-4041-a9e0-1793bcd141fe;50d189de-e163-4ece-82b0-7510aee13791;;2015-02-01
d9e43861-ba16-402a-afaa-3084196cc614;b27beba7-ca02-4041-a9e0-1793bcd141fe;02cc7e8a-a64b-4b0f-98f6-35ffb8c919ab;2015-02-09;2015-02-01
d9e43861-ba16-402a-afaa-3084196cc614;b27beba7-ca02-4041-a9e0-1793bcd141fe;999404da-617e-4f8b-858f-0f0d5397845e;2015-12-15;2015-02-12
d9e43861-ba16-402a-afaa-3084196cc614;b27beba7-ca02-4041-a9e0-1793bcd141fe;c91d1854-0677-48af-82df-2ae71a58acf5;2016-02-17;2015-12-22
d9e43861-ba16-402a-afaa-3084196cc614;b27beba7-ca02-4041-a9e0-1793bcd141fe;d8f25678-ba95-4237-ac84-a57c1de29519;;2016-02-19
59624c4a-b904-489d-8bbc-d94f9fc03306;b27beba7-ca02-4041-a9e0-1793bcd141fe;aed0e0c4-72e6-4542-a776-c3909ff54696;;2015-02-01
