slp:resource_uri;org:postIn;org:role
35c01901-2cca-4d0f-b244-dd7cf2157137;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;22a2ecf6-5f03-4da9-bc89-48319d152403
bfd204ea-f6e1-4e95-878f-e446c2a901fc;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;dc66ab57-90b8-437b-a29c-aae35cbf2ac1
4505615a-02e5-4dd1-8ed4-81e79de0ea54;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;467f2a3e-6c7b-4234-9f62-27cf83588db0
ad073298-7f8a-4977-a306-54ee3b3cb906;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;c2d4abc4-a53c-439b-92af-a529c9edd339
c98664fd-a4f8-46b0-a198-be4deff2f62a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;7f059d97-18e2-4053-8116-43636eab4de2
0e8024e8-3bbf-4730-86b9-d9f513a90d9f;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;3fe10739-a2c8-40f1-b429-f58f1950a45b
7149e5f1-dc63-4630-a1cd-5102c3e802ab;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;23ff1598-9e40-4906-bf71-051459ac2010
a3688889-abbb-4835-817d-9ed61d582a26;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;747c9708-46c6-4249-8675-e702b36c5d87
f3417711-2533-4468-8d75-1fce4c62ad6b;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;05d61f56-f5a6-47db-81c0-1360c131483a
296bd4bf-2e2e-4b46-99a4-2908b1de3115;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;54bb5293-1c0c-43b2-932a-ea65f16b96b5
c83322b5-c2cd-4748-bb16-980f2f739bfa;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;45deb600-6f30-46d9-b134-62e320cbdb23
df4d8958-c323-4d50-bb08-1be7baa1c231;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;3f624545-69b1-4993-8380-31f85317c7b3
7c063b70-7157-438d-96e7-3e15afb83f31;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b6f8ed55-5cc9-4b50-86ab-4a3c3623d7c8
bcfc45d7-8ebb-4f1e-b303-4c13d0427aeb;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;6ba5f856-1f4b-426c-b25c-e480834247f6
198a3768-e924-4cd5-a569-e5412564f6c5;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;726b9428-9153-4eac-b0eb-81a45fed0f8b
d1a6ce29-4086-489a-9811-8d85e9e26491;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b0244ddd-137b-4150-a887-bfd78c889f9c
a2a2275d-84b5-4f48-b2e7-f01063efaddb;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;19053c27-584d-4f77-9a6b-c6a25eb9b372
d6df73e5-8627-4602-8ba2-30d0095b1e59;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;2107ee8d-b738-4c7b-b7d7-a506fd57bbc4
b6b9185f-5995-41ba-9db4-2fdede0a0b5a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b538b5e9-5c85-4762-931a-90be98228e5e
9730cb02-1d4c-4e9f-b17d-48ea9ce392c5;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;29684710-3705-4c05-ab07-8e1dab38893a
1d946f50-a6de-4870-9f5b-d07e0b7d70dc;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;ec6ff8eb-51ef-46ea-9509-0865c295ebb7
bdcdff89-d72e-45fe-b975-81183ff73353;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;d06bd44a-b979-48fd-a95c-1231b8236e69
d4c1ecfc-f78a-455c-a2ff-0829048ba8de;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;c0c35235-860c-4662-9fdc-38018bddc092
e6874e62-20e3-4650-8b79-3ef4b06fce1c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;5d3c01cb-7ec5-4834-bcf6-09944a8becff
de1972fd-7814-4e25-9a88-096619d35a65;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;63b6d88a-1d49-41dd-8d8d-e3a7705b3a34
aaf9d980-5a22-467a-9141-cc66bfafc8ed;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;491ca04c-a637-4987-8b71-5b3a832eb48c
1ada72b1-8cbb-4628-97ec-89c41ae66995;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;0de228ad-9029-4905-9c2b-0dc442bc9fe1
2503073b-8b16-4bbf-88b9-7f13f4a2780d;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;197d7a94-1560-44cf-a3e9-86bff29d2c24
042dd0f0-2937-4e5c-bf7d-69f1f6c4206c;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;4cc8a623-9eec-48b4-ac1a-7824286d3bae
