org:role;slp:resource_uri
70f12084-b63a-4bca-b140-e60480ef3802;7b210070-df61-11e7-97e9-c82a144c0a85
1706c489-db73-4b74-a410-5e441c1e1cdd;7b21152e-df61-11e7-bdcf-c82a144c0a85
ea9a2925-a286-4b13-b719-a030418dd8c5;7b21046c-df61-11e7-8094-c82a144c0a85
11dccd25-3d27-4e70-af1d-bb0907675b2c;7b211a38-df61-11e7-b1b8-c82a144c0a85
a2d74722-5042-4795-b72e-c4d3bba42fc9;7b20ed7e-df61-11e7-bb65-c82a144c0a85
fd4484a7-c150-4b9d-978d-7544e3e2d1a8;7b210070-df61-11e7-97e9-c82a144c0a85
e3ca229c-fc9c-4d36-8e82-4ab0afb93a63;7b212e92-df61-11e7-aaf4-c82a144c0a85
eb1a65b9-4a24-4b05-aed6-3e57f11c07ca;7b2148e6-df61-11e7-b174-c82a144c0a85
d5ac03b0-a9a7-423e-8ea8-818ff67f5c2a;7b210cfa-df61-11e7-9864-c82a144c0a85
341d4bac-2a0f-40d7-b87d-0bb58ece303f;7b211a38-df61-11e7-b1b8-c82a144c0a85
f2097099-9d3f-447d-a4cb-f3708d4c031b;7b212c9e-df61-11e7-a12b-c82a144c0a85
41fa6c27-9a24-46d8-a40f-e8a5ffa0157f;7b212d98-df61-11e7-95f7-c82a144c0a85
2a13dd89-beef-4580-a996-a765eb60073f;7b21152e-df61-11e7-bdcf-c82a144c0a85
37faadda-5d5c-402e-b1da-a2a29d4efe39;7b211754-df61-11e7-86d7-c82a144c0a85
e7fed45c-f8b7-4b45-9268-b0c458d02913;7b2139c8-df61-11e7-8d64-c82a144c0a85
0c1bff8d-13f2-4a85-bc7f-97753e091873;7b212d98-df61-11e7-95f7-c82a144c0a85
cd983122-9ecc-4a32-8a2e-f2c06f3f7434;7b212e92-df61-11e7-aaf4-c82a144c0a85
b4673f49-d166-462a-ae5e-e55a89c57670;7b211b34-df61-11e7-b235-c82a144c0a85
5faadfab-98f3-44c2-8442-47cf8585fe25;7b210cfa-df61-11e7-9864-c82a144c0a85
f7abf72d-373c-4250-9c40-07f13540a2c4;7b2138a6-df61-11e7-baf1-c82a144c0a85
2ab37ec4-94a7-467a-bcb4-f2e007b5f47e;7b210070-df61-11e7-97e9-c82a144c0a85
7e95b080-b0ff-446c-86f1-a8c432d65f3e;7b2138a6-df61-11e7-baf1-c82a144c0a85
79fac15b-fe9c-4e6d-b50c-73930558dee4;7b213b12-df61-11e7-b867-c82a144c0a85
7d7e374b-7f31-44ce-ad2f-772597e27702;7b210cfa-df61-11e7-9864-c82a144c0a85
4fa46e61-f402-4ea9-8483-b9425ad5976f;7b2139c8-df61-11e7-8d64-c82a144c0a85
9ecab01c-ca80-4cd9-9a7b-fffe73eb62e9;7b210070-df61-11e7-97e9-c82a144c0a85
bf492521-2ffc-4c5e-92ce-cef973ac5157;7b21046c-df61-11e7-8094-c82a144c0a85
aca4bef6-69aa-4317-9e62-677a375f0817;7b210cfa-df61-11e7-9864-c82a144c0a85
55f33e78-dc7e-4c32-af93-7a46daec660c;7b210070-df61-11e7-97e9-c82a144c0a85
1d36aadf-e122-4f8d-b31c-73391f006639;7b21152e-df61-11e7-bdcf-c82a144c0a85
4568e6ae-9bc2-45ff-a904-da618707e142;7b20ed7e-df61-11e7-bb65-c82a144c0a85
865a6758-3a1b-46cf-b8f5-43a58b88cc0c;7b210cfa-df61-11e7-9864-c82a144c0a85
05bff00c-2ab8-466a-8f61-dd19398a56ea;7b211a38-df61-11e7-b1b8-c82a144c0a85
cd2a65f3-7ac0-4c1e-9061-f35f9a251c8d;7b2109d0-df61-11e7-a4af-c82a144c0a85
e8a5c1f4-51b3-4cbc-abe4-5bf9b793ca02;7b2138a6-df61-11e7-baf1-c82a144c0a85
