postIn;resource_uri;role
7b210070-df61-11e7-97e9-c82a144c0a85;a5282e97-584b-4899-a6a4-53933306d265;6a688541-b16a-45ca-8aa9-fa700373279f
7b211a38-df61-11e7-b1b8-c82a144c0a85;da386c41-669e-40a2-b7cf-0bb474e3660b;6a688541-b16a-45ca-8aa9-fa700373279f
7b20ed7e-df61-11e7-bb65-c82a144c0a85;199cc384-f89c-48b7-b57a-7bda3200de0b;6a688541-b16a-45ca-8aa9-fa700373279f
7b212e92-df61-11e7-aaf4-c82a144c0a85;5885b146-0874-4bad-8bcc-3d8576a43c03;6a688541-b16a-45ca-8aa9-fa700373279f
7b212d98-df61-11e7-95f7-c82a144c0a85;f59be088-dbf2-447e-9d84-3c59829f2d20;6a688541-b16a-45ca-8aa9-fa700373279f
7b211b34-df61-11e7-b235-c82a144c0a85;3c2a53bc-97da-460f-a2ca-5232e626e6a0;6a688541-b16a-45ca-8aa9-fa700373279f
7b210cfa-df61-11e7-9864-c82a144c0a85;85555e2c-df9f-4a06-bf7e-ca7568d3b0c5;6a688541-b16a-45ca-8aa9-fa700373279f
7b2139c8-df61-11e7-8d64-c82a144c0a85;45fb47a5-a2d3-4e85-be73-e8ff86f54983;6a688541-b16a-45ca-8aa9-fa700373279f
7b210cfa-df61-11e7-9864-c82a144c0a85;c7cf8762-243a-4c38-ba31-2d4878f51ddd;6a688541-b16a-45ca-8aa9-fa700373279f
7b212e92-df61-11e7-aaf4-c82a144c0a85;1511a7e5-3e3a-48cb-a309-4b644cb0c248;6a688541-b16a-45ca-8aa9-fa700373279f
7b20e63a-df61-11e7-b49c-c82a144c0a85;678ca0a0-b520-414e-8b41-cf0a7ff402f8;6a688541-b16a-45ca-8aa9-fa700373279f
7b212e92-df61-11e7-aaf4-c82a144c0a85;c13bc2de-ad5b-4594-bacd-f8f02fb202ca;6a688541-b16a-45ca-8aa9-fa700373279f
7b212d98-df61-11e7-95f7-c82a144c0a85;c46a009e-d51a-423a-b02c-6814f9e9bdaf;6a688541-b16a-45ca-8aa9-fa700373279f
7b21152e-df61-11e7-bdcf-c82a144c0a85;7077a781-2dee-4809-9c53-1d7bf3fbc89a;6a688541-b16a-45ca-8aa9-fa700373279f
7b211754-df61-11e7-86d7-c82a144c0a85;a3fb3463-24f9-42f8-9aff-56c9ad72fa04;6a688541-b16a-45ca-8aa9-fa700373279f
