org:role;slp:resource_uri
d071b5be-0d81-4d91-a766-990c1599993f;7b210070-df61-11e7-97e9-c82a144c0a85
c39a8c03-4119-41b9-b904-0a76a45a3c14;7b21152e-df61-11e7-bdcf-c82a144c0a85
01e8b2ab-0196-4b4c-9127-579e6962f6ce;7b21046c-df61-11e7-8094-c82a144c0a85
e2756b98-c268-46f0-a731-5cbe03f1aeb4;7b211a38-df61-11e7-b1b8-c82a144c0a85
4b5f4cfb-c5f8-4571-90a8-541447aa1a62;7b20ed7e-df61-11e7-bb65-c82a144c0a85
0a334ea6-40e3-4f9e-a1ed-dae1e4f0a92e;7b210070-df61-11e7-97e9-c82a144c0a85
4839f7d8-467b-49ff-9336-464be06a33ad;7b212e92-df61-11e7-aaf4-c82a144c0a85
70b84c2d-dcb2-4f59-8bd4-3c916658c8c2;7b2148e6-df61-11e7-b174-c82a144c0a85
3c1f2b32-0aa3-4294-982b-b1f0abba5830;7b210cfa-df61-11e7-9864-c82a144c0a85
b8458b19-1378-45b2-ae50-dd7df753cc03;7b211a38-df61-11e7-b1b8-c82a144c0a85
5b362abd-706d-4ba4-80dd-1c95cf55d32c;7b212c9e-df61-11e7-a12b-c82a144c0a85
27eda5ba-2aab-46d9-89de-efd88eb20e26;7b212d98-df61-11e7-95f7-c82a144c0a85
dff391bd-0e83-4b5e-9fec-cb9742b5fcfd;7b21152e-df61-11e7-bdcf-c82a144c0a85
da9aa87b-7c9a-4d05-a7cb-8ebe93b93f33;7b211754-df61-11e7-86d7-c82a144c0a85
559e30ee-aa1a-4453-8e46-dd02df98858e;7b2139c8-df61-11e7-8d64-c82a144c0a85
765576ca-eda6-4f6c-bcd9-cf77ff0fed2a;7b212d98-df61-11e7-95f7-c82a144c0a85
58812a43-f416-49e5-944a-f22963cfd7aa;7b212e92-df61-11e7-aaf4-c82a144c0a85
986945a7-6542-41d6-ad5a-e987886effde;7b211b34-df61-11e7-b235-c82a144c0a85
0bfb2b76-d326-49e4-b67b-12a054b96f81;7b210cfa-df61-11e7-9864-c82a144c0a85
4681fbf3-7d3a-45a6-8554-8e13c4f97861;7b2138a6-df61-11e7-baf1-c82a144c0a85
cf77d0e8-4bda-4852-af04-c59012c700e7;7b210070-df61-11e7-97e9-c82a144c0a85
527a499c-d6c2-48ae-ad88-dae502bce912;7b2138a6-df61-11e7-baf1-c82a144c0a85
379ff7f0-9c36-4c73-9aee-b5d9ba85e985;7b213b12-df61-11e7-b867-c82a144c0a85
7a06819b-7450-4093-9252-82d2f21a4fc4;7b210cfa-df61-11e7-9864-c82a144c0a85
ec42a7f3-45d8-4cae-888a-3a762c991382;7b2139c8-df61-11e7-8d64-c82a144c0a85
f0ad0afc-6e41-4b73-b2a7-5b2325365d04;7b210070-df61-11e7-97e9-c82a144c0a85
d0403d9e-7f76-4966-bda1-18cb05efdba1;7b21046c-df61-11e7-8094-c82a144c0a85
571b230b-0634-4de7-8570-55843d04e25b;7b210cfa-df61-11e7-9864-c82a144c0a85
4c342eda-88cd-4da5-b3b6-b389a1c40a23;7b210070-df61-11e7-97e9-c82a144c0a85
1eebebdd-7694-4c10-b68f-9af3dca66977;7b21152e-df61-11e7-bdcf-c82a144c0a85
599b5b51-8aea-4062-9b3f-8d50d4dcbee7;7b20ed7e-df61-11e7-bb65-c82a144c0a85
64d52d55-f480-4704-a8aa-1bb6a3e17f80;7b210cfa-df61-11e7-9864-c82a144c0a85
8019d7e4-97c2-4507-b8e8-34c421e82b96;7b211a38-df61-11e7-b1b8-c82a144c0a85
0edfc607-575e-40b4-bfc5-c041b853f22b;7b2109d0-df61-11e7-a4af-c82a144c0a85
