org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;org:role;resource_uri;org:postIn
21472871-dd36-4d0c-874e-d442e3f6eb6a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;;2016-05-09;e9932b05-852a-446e-a4ce-51ab18351d30;7f91b54d-2914-4870-af1e-20bb29d863c3;81311052-e5b6-46fe-87ba-83865fa0ffb0
21472871-dd36-4d0c-874e-d442e3f6eb6a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2015-01-01;2014-11-15;0ab6250c-1305-411e-ad98-a1c2abba98f8;42f5f3ad-a1ad-4062-a5cc-457fb5041c8b;81311052-e5b6-46fe-87ba-83865fa0ffb0
21472871-dd36-4d0c-874e-d442e3f6eb6a;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2014-07-16;2011-02-01;b1e007b9-6fe2-4440-abab-56526952585d;d3d64618-3031-46b1-b483-f5fc08b22940;81311052-e5b6-46fe-87ba-83865fa0ffb0
6b45dd59-d18c-4cf7-85f4-385b8b7400d6;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;485;SP;2017-03-06;2011-02-01;fcb59e3d-054d-49b6-a0e8-fe51b6949777;a0eed1ed-669a-4de1-80e4-3c7f075a6b02;81311052-e5b6-46fe-87ba-83865fa0ffb0
1065859f-e76a-4bad-9c44-e404e24adc54;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;;2018-03-23;8018cc6a-d48b-4d0e-a1e5-24c8c4d467f2;13922ec1-f097-4b98-b5fd-03af5b25858c;81311052-e5b6-46fe-87ba-83865fa0ffb0
1065859f-e76a-4bad-9c44-e404e24adc54;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;2017-11-21;2011-02-01;2c9875ef-5ca7-49ae-be70-03c194bb6b53;0372e45a-5bf8-4e58-950e-99cbf093dd89;81311052-e5b6-46fe-87ba-83865fa0ffb0
14a3ea0b-56ba-441d-a6f1-f69a29bf3ec3;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;462;RS;;2011-02-01;10afc150-e5b6-4ed1-b5ac-a587407f6ff3;40a4a888-214f-4d3e-b13f-863576dddb37;81311052-e5b6-46fe-87ba-83865fa0ffb0
d2fd7a9e-eb01-4c1d-a326-8fbbbf5a9164;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;;2013-12-23;c0b55c18-94a9-4f5f-85e1-183031f9f23a;3db83702-e9c6-4f4e-807c-bba222b8d97c;81311052-e5b6-46fe-87ba-83865fa0ffb0
d2fd7a9e-eb01-4c1d-a326-8fbbbf5a9164;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2013-08-07;2013-02-08;72c2b613-d4ea-4049-8908-025225a4dae6;8d06965b-9686-4a21-8206-bc0fe315ebd8;81311052-e5b6-46fe-87ba-83865fa0ffb0
d2fd7a9e-eb01-4c1d-a326-8fbbbf5a9164;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2011-08-31;2011-05-03;332803ae-9caf-4f0b-b9f3-fdd6e8f83ef8;95647d8b-846a-4efc-9ecc-da5b3926e984;81311052-e5b6-46fe-87ba-83865fa0ffb0
8cc156a1-f4c9-48bb-9618-9d99ea74e454;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;495;MG;;2015-02-01;eef78b3b-0ffa-4364-bd56-9f31f4c63f83;67dd33dc-5908-4a1d-aec9-76048d5484db;81311052-e5b6-46fe-87ba-83865fa0ffb0
913a73f5-16bf-48d9-b700-4e5da88ad7bd;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;485;SP;;2017-03-09;3f25ec8c-bb85-4841-83f1-5ee37d3f08b9;e530eb11-c2e3-40d3-8f48-27d9dde34d87;81311052-e5b6-46fe-87ba-83865fa0ffb0
589c8f51-3874-4f97-8eb7-23c6848f2c58;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;515;RO;;2017-01-14;6ca39a40-0f87-49d3-b3ea-9ea7822f9f58;86b2d041-bb65-4529-8818-d479d4b65150;81311052-e5b6-46fe-87ba-83865fa0ffb0
589c8f51-3874-4f97-8eb7-23c6848f2c58;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;515;RO;2016-09-08;2015-02-01;97d94ea3-b16b-420d-9e95-699887448580;f9fcfc3e-dc58-43a1-a4a7-44f6b14107fe;81311052-e5b6-46fe-87ba-83865fa0ffb0
95aef76d-eb73-49b4-942f-ba61ca3dc38d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;448;PE;;2011-02-01;8979ae5f-64a7-4401-9b22-2a3592c3f98a;b720c975-b21c-47de-8227-cf6f59bb45d8;81311052-e5b6-46fe-87ba-83865fa0ffb0
2269d9ee-d4b6-48b4-bd19-5345dd057554;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;441;MG;2011-07-02;2011-02-01;a4e9e9ee-9325-4885-85d8-90affa38f06d;6e932741-e797-4af2-ba5c-0695b9d0c06f;81311052-e5b6-46fe-87ba-83865fa0ffb0
641aa860-639f-4f33-8e5d-baa6159210ff;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;439;PR;;2014-02-03;6d8d07a1-857c-4fe4-b16a-b5fa7046fc6c;3df59386-2fc4-4e55-9431-9e2a35bb9512;81311052-e5b6-46fe-87ba-83865fa0ffb0
641aa860-639f-4f33-8e5d-baa6159210ff;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;439;PR;2011-06-08;2011-02-01;4f80e6b0-5fb5-4897-9988-87718e67e32f;b73568fa-9c9d-45d5-b564-7fc1b37702e3;81311052-e5b6-46fe-87ba-83865fa0ffb0
c3e52165-772b-4307-8eb3-8dd8c8e83055;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;470;DF;;2015-01-01;b71ae975-bb91-4160-bae2-323d895547d6;64269876-53b7-44f2-a57d-4cd04cdeab9e;81311052-e5b6-46fe-87ba-83865fa0ffb0
2946f47d-f3b7-44ac-a8a7-ad76e59ae59e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;500;AC;;2015-02-01;36a50285-75e2-4810-8322-0c3d7058cc12;66ceb221-c455-431c-9baf-484f19de78cc;81311052-e5b6-46fe-87ba-83865fa0ffb0
fc9f7c46-0798-4692-b13c-3705bdb0fef7;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;464;AP;2011-11-28;2011-11-26;857f015b-fa9f-47b4-b58c-ee71cfee591b;f4541290-2862-4a7c-9a8c-a18fdde634d0;81311052-e5b6-46fe-87ba-83865fa0ffb0
