org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PDT;0577ae6b-9fa4-4ff0-ac19-9dd5cd3598d1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2004-02-14;PP;b2ec603a-26b8-4e59-8a59-624d2f0973ac
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2004-02-13;1999-02-01;PFL;3cf1400f-9fe7-4552-99ac-d0a4a52a1510
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PR;da9f5ea7-2636-4240-af94-94e0df597ae9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;DEM;89a85f62-3dce-499c-a72a-0917f5bf5240
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PDT;5d602564-ea0f-4b99-86fe-7ed822778f85
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PSDB;70e5af79-d369-4e74-b4ad-4decab26ef97
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PV;27187447-24a0-4e48-900d-5207e5ce37f5
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PMDB;3bd6d232-08e8-4654-acdb-a46a77de65ba
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-01-27;PR;5401befb-466d-4949-890c-5969d74233e2
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-26;1999-05-04;S/Partido;b6b29723-30d8-4829-950a-38ce80648eaa
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSC;1bde4f42-c239-45fe-a764-63a199d51464
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSD;1a7c58a5-044d-46ca-ad5f-6720401af1a6
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2003-06-02;PP;d33c0fe9-6fb3-4aed-b165-ad6322c9a9d6
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2003-06-01;2003-04-08;PPB;a18eb2af-feb2-4efc-aadd-679632f1ef9d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2003-04-07;2003-02-01;PTB;6ad6adf3-8c57-4e8b-af56-94a4a7cd1456
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSD;1d14da80-1ea2-4935-9dc3-a3cdb75ab8ab
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PSDB;1e0560dc-a43f-4c4c-8054-b4bc6abcba50
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PRB;98cfd849-495a-491a-9edd-6737bc28f93d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;0bc391dd-d68d-4ac5-b63d-ac9d0befd523
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;8da8e9e2-58ab-4e79-aa1e-8a6ddc4251f2
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-04-17;PDT;52ebd4e9-82aa-4721-8a46-aa0b030fec3a
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-04-14;2007-03-15;PT;3893d4d8-373e-4c5f-8a0d-61f94430b751
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2007-03-14;2007-02-01;PTC;e674f22c-16a8-4e47-b30d-5619c06f13a3
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-02-01;PMDB;0d8feadd-2d8a-47ed-bbad-5e734aae3787
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-01-31;2016-04-05;PTB;e588354d-4cd9-4fa5-b94b-fc90c1308efa
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2016-04-04;2016-03-28;S/Partido;1bb684ce-110d-4393-9f0c-33bb07d34436
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2016-03-27;2011-07-11;PDT;9f4329c6-b2fd-4e77-a74b-d13f6219463e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-07-10;2007-08-02;S/Partido;8b43d06e-101a-4a45-b9b2-73e418ffe6b9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2007-08-01;1999-02-01;PFL;b07a7797-9fca-426e-9c61-c01a8b80ae8e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2005-03-23;PMDB;e2cdd48b-ac4f-4d78-a3d8-a673e17483db
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PDT;5cfff644-9746-4383-8b9d-986870a5e7a3
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-09-15;PP;4075b128-0352-441f-9b8f-73ec79d2a79e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2015-09-14;2011-02-03;DEM;8acad641-1a97-455e-b307-7d9fcefda87c
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2003-02-01;PMDB;559190b8-3cac-4aa5-a6bb-aeab56b588e7
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-01;PR;e62d5852-606a-4778-8766-0800839e1002
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-31;2006-12-20;S/Partido;7c4d880a-d9cf-4ca9-b2b1-7a77fdcb6934
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2006-12-19;1999-02-01;PL;3a8be23b-f9e1-424b-9ac0-0dd0999e525e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2016-03-29;S/Partido;813bd7ed-a3e9-4159-bb39-382ddaabd3b1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2016-03-28;1999-02-01;PT;bb063ffa-7785-46c8-abc2-e1857015c43f
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;6689182c-8797-43fb-bdf6-5a62da7e8787
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-01-31;PT;9c951888-b36f-4a29-8de3-c33793b46ad0
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSB;3fda8291-21dd-49f6-8af8-8627b883dcd1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2015-01-31;1999-02-01;PDT;5d2907d7-d019-4e98-a974-830bd1e199b7
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2007-02-01;PMDB;3fcd0cee-d7e6-4896-bd66-3bdb5a5a542e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2014-12-30;PR;cde6452d-519e-418e-8979-1183dd5518f7
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2014-12-29;2013-10-01;SD;457b0598-ba53-462e-adb3-a234cff8b6d8
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2013-09-30;2011-01-27;PR;dc1a25ef-2437-4857-a733-1b3b8c36579a
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-26;2011-01-26;S/Partido;81a64b0a-dcde-49fc-b8cc-23a53a739d08
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-25;2007-02-01;PSDB;c9b198b3-a5fa-4476-9fe5-0fac33790d33
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PMDB;643d14f3-a02e-4ef1-bff6-da9acdac824d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2008-03-26;PSC;e55960a1-dc57-4126-943e-a2108f330a63
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PCdoB;292a8cb2-a3bc-4f20-9c09-9cad15405170
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2003-02-01;PMDB;6d336c0e-fef5-40b5-8e3a-c31a9ef33dee
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PSDB;c9c1823a-d7be-4ed8-a332-5a30ead770d1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;c52c1398-7be8-4539-b1d3-99ec579729d0
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PT;66cff76c-c1d3-476f-81d2-e2f053d6c126
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;cabd05dd-f636-431b-9e5a-b8298719f97b
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PRB;32065184-640d-463b-91f6-79a610cb63fe
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PSB;24dc7828-f3ea-4768-a4c1-5aced6b15b18
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-02-02;1999-02-01;PT;fce24360-0eb7-4d01-8af7-6bfe0b12a39e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2003-02-01;PSDB;f7b43013-e0e2-4c6a-b17c-f85a9ac2c31b
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-02-01;PTB;a672aec2-137d-44ef-96b2-06b04d216b04
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-01-26;2015-02-01;PDT;5d477185-19a7-4075-83f3-8d8701dc15db
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-01-31;PTB;63d1c32d-b42a-47c9-8eb1-e1a07a1b0c14
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-01-26;2015-02-01;PDT;1008496a-4777-49a0-82f0-293f08c584df
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PT;d7c5f934-78dc-4ee5-8e00-253b0ecf1f41
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-11-01;PSD;c6b91d7f-e312-4ad8-ab35-6788516e6bbc
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-10-31;2007-02-01;PMN;8f24a5b1-8b49-4892-b5d6-ab60556628f9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PSB;a55badd6-10c4-4967-82c9-64fe6594866f
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PDT;dbdb010e-c59f-4807-a515-9f433b5f203b
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PMDB;9007ca15-4384-4d7c-b6be-533a3634ba48
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PTB;d8cb5f71-a462-4c2f-b88b-bdd8d5c80bc6
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSB;5907a127-7060-4ddc-bd3f-15997f8e5c27
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSDB;bc452a79-e5e2-491e-90af-ad6c70f87289
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;96b6990f-1254-4921-9a2a-20bc99aa4845
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PRB;b1403c5c-4597-4254-a2ce-4901bf436836
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;1ba45a6a-e12c-4a21-ad04-0408351fd790
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;df2d7929-85f5-4131-9d7a-010c9a1657a4
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;5504bef6-f8f9-43dc-94a5-42ca3b3bd357
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2003-10-14;PMDB;069f4103-268a-48b3-9c09-18461290e8a6
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2003-10-13;2001-03-08;PSDB;52988fea-a1aa-4bbc-bd38-b5583cae5a9e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-07-04;PODE;05c3ada8-4ca5-4189-a512-c96226e78274
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-07-03;2013-10-02;PSB;80da0b49-8745-46fe-a978-2761966b6828
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2013-10-01;2013-08-20;S/Partido;65fab20b-3275-4193-86f1-0dc820b32c58
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2013-08-19;2011-02-01;PSB;ea7c0072-5a77-4641-ba5e-3d4b576d19f9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;af750312-29a3-44db-9945-245ae7cfe7fa
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PMDB;510d4010-185e-4a3c-a658-5f7ee844389e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PV;6cc37fe7-e8cf-4c91-8936-7b6516f1a713
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2003-05-14;PMDB;c142c08c-6b42-4b87-81b2-efd2eba7c3b8
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2003-05-13;1999-01-28;PSDB;3f2639db-2f3b-46b7-99f4-91ac9628b64f
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1999-01-27;1995-02-16;PFL;a98d8d54-457b-4160-b3f4-8682f4c95a44
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1995-02-15;1995-02-01;PPR;4ebae300-626c-48f8-9ff2-4748ca426ce0
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2007-04-24;DEM;f4cd08e1-4f7a-4a8c-89aa-07bc0e05fcdb
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2007-04-23;1999-02-01;PFL;9074b941-d262-480b-a229-6708ac4176fd
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-10-04;PSDB;9a4bc8a0-979b-4dd6-ad8c-7a8a1212abae
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-10-03;2017-09-29;S/Partido;c6c2c1ee-e7f7-4f53-b481-fa59e8498eaa
