org:role;slp:resource_uri
d69fcc38-21a6-41ee-8c0f-90be24aff805;664a811a-8e13-444b-91c4-0a7ccb108588
d69fcc38-21a6-41ee-8c0f-90be24aff805;eb6e9f82-c30f-471f-b30d-5f781153a5c0
d69fcc38-21a6-41ee-8c0f-90be24aff805;31fb0de2-bdf8-4c37-a1e5-8b9a9191d53e
d69fcc38-21a6-41ee-8c0f-90be24aff805;86e50ea4-88bb-491c-94e5-31e6a4d56fe2
d69fcc38-21a6-41ee-8c0f-90be24aff805;e5c9a3af-b8e5-4e47-84bb-ce109ab001c8
d69fcc38-21a6-41ee-8c0f-90be24aff805;eacefb56-6f96-4157-826a-00f68ebd56b9
d69fcc38-21a6-41ee-8c0f-90be24aff805;0564f34f-1cc5-4745-887a-71d97f2048a6
d69fcc38-21a6-41ee-8c0f-90be24aff805;48568267-6359-4c6d-9f00-4927e965d862
d69fcc38-21a6-41ee-8c0f-90be24aff805;7e3b99f6-9125-4e28-8ff0-fd22c6d1599c
d69fcc38-21a6-41ee-8c0f-90be24aff805;6fdaef25-c160-4b3a-86e1-e8cb3e724063
d69fcc38-21a6-41ee-8c0f-90be24aff805;dd0a0694-3338-4741-a03a-7dcfc3c7c327
d69fcc38-21a6-41ee-8c0f-90be24aff805;4362b354-f963-4a40-ac80-cf9597cd1a68
d69fcc38-21a6-41ee-8c0f-90be24aff805;0d4dcb40-196e-420f-855f-d14de91be486
d69fcc38-21a6-41ee-8c0f-90be24aff805;1d5d4f1e-0170-4fb9-b658-8dcc422e900d
d69fcc38-21a6-41ee-8c0f-90be24aff805;ee6248d9-aca5-4c11-8fc1-1950d0d395ea
d69fcc38-21a6-41ee-8c0f-90be24aff805;4c038dd1-efff-41d8-9093-390da69bfd44
d69fcc38-21a6-41ee-8c0f-90be24aff805;a4b5c7d4-530e-42c2-9d47-66d7a9d4f27f
d69fcc38-21a6-41ee-8c0f-90be24aff805;6589e56b-2352-4721-bfbf-13be27b9b7d7
d69fcc38-21a6-41ee-8c0f-90be24aff805;29b45a49-cc58-48c6-96c1-9f91782df5a3
d69fcc38-21a6-41ee-8c0f-90be24aff805;9eee58f8-2632-4f84-b6bb-10bd0db4f1da
d69fcc38-21a6-41ee-8c0f-90be24aff805;723f7562-e3a2-4da1-8132-835cc113a462
d69fcc38-21a6-41ee-8c0f-90be24aff805;acc52324-e199-4f2f-acb1-20cf5ecf39e8
d69fcc38-21a6-41ee-8c0f-90be24aff805;10a7d3ad-fbcb-4e2d-a55e-dee7d87dea65
d69fcc38-21a6-41ee-8c0f-90be24aff805;4909a4f0-ad45-4235-aa53-06f2201a0c5f
d69fcc38-21a6-41ee-8c0f-90be24aff805;1a8da3ce-212f-482a-ad81-ca93e3da8c1b
d69fcc38-21a6-41ee-8c0f-90be24aff805;23a88b20-a8ef-442a-9f97-9181fd584219
d69fcc38-21a6-41ee-8c0f-90be24aff805;fe2e09c0-bd17-4c78-a67b-ed3efcf014a5
d69fcc38-21a6-41ee-8c0f-90be24aff805;f9eafde9-1b0f-4b5f-a662-5af97565096a
d69fcc38-21a6-41ee-8c0f-90be24aff805;543614c3-381e-4595-90e2-63d17118044b
d69fcc38-21a6-41ee-8c0f-90be24aff805;618772a5-2bce-41a3-bf2b-c0d2868f59fd
d69fcc38-21a6-41ee-8c0f-90be24aff805;a3b65911-80df-49d5-b377-3bfb1758e763
d69fcc38-21a6-41ee-8c0f-90be24aff805;fd9f49c9-af1d-4978-b79a-d900aa635517
d69fcc38-21a6-41ee-8c0f-90be24aff805;e60df776-7353-4652-be3a-e2f97fb86b7e
d69fcc38-21a6-41ee-8c0f-90be24aff805;b6b4ff27-0fe2-4f7f-b21c-b37adb275903
d69fcc38-21a6-41ee-8c0f-90be24aff805;4289aa8c-74f0-471b-931d-ed85a8d48cba
d69fcc38-21a6-41ee-8c0f-90be24aff805;d2e648d8-1de7-4dae-9116-327dec151f3f
d69fcc38-21a6-41ee-8c0f-90be24aff805;4212455e-87ab-4967-8950-5d9aeedeb3de
d69fcc38-21a6-41ee-8c0f-90be24aff805;16431698-dcc9-4654-802b-297aab91c842
d69fcc38-21a6-41ee-8c0f-90be24aff805;22f6b505-d35a-4b2a-864a-525d16de9526
d69fcc38-21a6-41ee-8c0f-90be24aff805;4ffd80b8-eea9-4c76-a3ec-436d855073e5
