slp:resource_uri;rdfs:label
22a2ecf6-5f03-4da9-bc89-48319d152403;Deputy
dc66ab57-90b8-437b-a29c-aae35cbf2ac1;Deputy
467f2a3e-6c7b-4234-9f62-27cf83588db0;Deputy
c2d4abc4-a53c-439b-92af-a529c9edd339;Deputy
7f059d97-18e2-4053-8116-43636eab4de2;Deputy
3fe10739-a2c8-40f1-b429-f58f1950a45b;Deputy
23ff1598-9e40-4906-bf71-051459ac2010;Deputy
747c9708-46c6-4249-8675-e702b36c5d87;Deputy
05d61f56-f5a6-47db-81c0-1360c131483a;Deputy
54bb5293-1c0c-43b2-932a-ea65f16b96b5;Deputy
45deb600-6f30-46d9-b134-62e320cbdb23;Deputy
3f624545-69b1-4993-8380-31f85317c7b3;Deputy
b6f8ed55-5cc9-4b50-86ab-4a3c3623d7c8;Deputy
6ba5f856-1f4b-426c-b25c-e480834247f6;Deputy
726b9428-9153-4eac-b0eb-81a45fed0f8b;Deputy
b0244ddd-137b-4150-a887-bfd78c889f9c;Deputy
19053c27-584d-4f77-9a6b-c6a25eb9b372;Deputy
2107ee8d-b738-4c7b-b7d7-a506fd57bbc4;Deputy
b538b5e9-5c85-4762-931a-90be98228e5e;Deputy
29684710-3705-4c05-ab07-8e1dab38893a;Deputy
ec6ff8eb-51ef-46ea-9509-0865c295ebb7;Deputy
d06bd44a-b979-48fd-a95c-1231b8236e69;Deputy
c0c35235-860c-4662-9fdc-38018bddc092;Deputy
5d3c01cb-7ec5-4834-bcf6-09944a8becff;Deputy
63b6d88a-1d49-41dd-8d8d-e3a7705b3a34;Deputy
491ca04c-a637-4987-8b71-5b3a832eb48c;Deputy
0de228ad-9029-4905-9c2b-0dc442bc9fe1;Deputy
197d7a94-1560-44cf-a3e9-86bff29d2c24;Deputy
4cc8a623-9eec-48b4-ac1a-7824286d3bae;Deputy
9ed50284-ca6e-4882-80a4-76c62458be5f;Deputy
442f1aa3-88a9-48aa-aec4-b417c3c189b8;Deputy
bafc1820-771e-474b-abf9-1f6da6a01ef6;Deputy
e51322d4-cbb1-4381-8b9f-c780b65a803c;Deputy
4a46c222-deed-455c-9c7c-9831710d4d89;Deputy
ea7f68bb-40ca-45f7-81d5-c30c6f99e888;Deputy
ff99b93e-cfc5-458b-ac5a-ef298381ec75;Deputy
59cd9a11-b131-4c97-848b-610b74388eac;Deputy
d79e7222-2828-49ad-8d25-11c06e1082cc;Deputy
23768664-e169-48a1-a1d2-9ff30c6bb7d6;Deputy
f5a9e2f3-d78a-40f8-b2ec-2c1633bbbd12;Deputy
4a4be606-ee48-4563-bf04-af0b681fa77b;Deputy
46e407f9-e859-4b61-8a8b-93ad42efb3b8;Deputy
242768fd-8ac3-4008-9cc5-45c7e1b107f3;Deputy
5d8227c0-d13c-4e15-95db-9762a9eb5b67;Deputy
7989c043-8633-41ef-8668-be9566a3a2b1;Deputy
79080fe4-a7c5-46d5-8c21-174b1b5688ef;Deputy
7d234fe0-1b0e-4db3-86fd-9d384e1e5c59;Deputy
a5ffd689-f9dc-4937-815d-08b58e9d02d7;Deputy
968a2cec-1906-43b8-bca6-10039891acca;Deputy
c136cad3-598e-4dd2-968f-79a72a1139b0;Deputy
e7db71c7-d765-4893-b845-4072f670533b;Deputy
30ea5b5d-6b8f-4ea4-8caa-d879f9c55ded;Deputy
92d8b470-1ed1-4b1a-bca2-9a32c5e98a12;Deputy
db9486aa-cdff-4ba5-8022-56caf500a90d;Deputy
4fe4c295-c98a-43a4-9255-e88b4d8433d6;Deputy
d2d7e748-507c-4b89-a59c-84af7cd39f06;Deputy
f39df917-cc49-4916-9fa4-99e3a48908f4;Deputy
ff9f1c10-596b-4425-9549-7eaaa452809e;Deputy
5c73e50a-e00b-4f97-b5c0-f8dd0c2d2ff6;Deputy
e3e582b4-8dfe-4b8d-9476-04ad383af74b;Deputy
0f5467d3-1cdd-4b86-8480-0b2d7ac8a34e;Deputy
08480b50-6ccb-440c-8445-12eb67f4ecc3;Deputy
977e18e2-73eb-4154-9f98-7a0228154896;Deputy
042c00ac-6687-450d-a438-ec41841e99a7;Deputy
a9f035d4-0a16-4d84-b009-743bde937a4f;Deputy
a5f81e95-8ab4-4b16-a2c2-3f3d9fead34e;Deputy
4e06de02-6998-4c96-94b3-bfb0ee4b3907;Deputy
d7534d1e-ea5a-4fb0-ba26-6a98c17c4987;Deputy
31496a3f-0a3d-4d73-8780-9b1626a4f2fb;Deputy
9ebd2faf-4df0-4fd3-9cd9-4ddce3dff49c;Deputy
d3f646a1-ea8e-4a35-bdff-3a9600cf8550;Deputy
a25ee61b-ba5b-4533-bfe4-5b9b499c436e;Deputy
ec02ca8e-c5ba-48b8-8d18-512d1b5b636d;Deputy
604ea0e5-e530-40ee-9b53-ebbfddeb02bc;Deputy
44d9b1b4-8433-4d0a-b927-cbc2b5881eca;Deputy
1bad12e2-51a9-4c35-b412-b8dd672e0cd8;Deputy
4a02e561-fd92-4df6-beaa-1a6553cc9bc0;Deputy
0bca2930-cf61-49ac-87a1-0ed8e628af24;Deputy
a40b1fa4-bcfe-4e15-a023-a05cd80a6c8a;Deputy
0d656514-2e0a-41b1-9b93-e4fcb6d90db9;Deputy
0a5bd7f8-a157-496a-94af-8154537f8a49;Deputy
f6d0a814-5e39-430e-bb3e-c9038370d66d;Deputy
3873a39c-66db-474f-98bd-34ff3b52849c;Deputy
58e55491-7217-4dae-9e4b-2daf27697c96;Deputy
245a43e5-d774-4d70-820d-42859c7b8907;Deputy
0d68d3b5-febd-4df8-b4bf-f29634c026c0;Deputy
57e2bceb-5495-4289-9eb9-8f1682718831;Deputy
cb18a96f-1b68-450e-943c-1886402e8b68;Deputy
afc19d97-cea3-481c-a461-600689780d13;Deputy
89cfe2be-5240-4733-81f9-044d9ca510a1;Deputy
29e1eb0d-8c3f-4472-94b7-2190387957b0;Deputy
f750035d-7888-467a-baae-fa31728223b2;Deputy
778e4636-d296-477b-9dfe-d2de4fec0679;Deputy
d49cdbff-7d58-43ed-9155-d557755d261e;Deputy
c503952c-e90a-4275-8d44-b6f0f76f2a7b;Deputy
f1f18d7d-1f7d-48af-be9d-7c245a662ab9;Deputy
98ebf5a1-ec49-4641-bb10-62be8eb85276;Deputy
46251b52-a5ae-4d95-9b0f-070f320fdaa8;Deputy
341b3b30-702c-4e87-b501-8e216f86560e;Deputy
c739cef6-1e94-44dc-a455-cd64701e8b44;Deputy
96fafe21-1c60-4244-9cae-11c08009e64c;Deputy
e536a5ba-219d-4c6c-b9f5-7728e15f3f7e;Deputy
99dbf0c6-073b-47c1-828e-585f0a473b54;Deputy
5a884710-eac6-463d-8aef-77199edf2ff0;Deputy
c9297d91-06be-456e-8e5c-dc1e2461800a;Deputy
c0703221-9422-4758-b0b2-1a2a83890929;Deputy
3370ca2d-823f-4a16-880b-120e621ee279;Deputy
0aeac33b-7815-42d3-93d7-ff03a268a433;Deputy
e14382f1-40e9-42df-a7c2-43083e08ad01;Deputy
4497a377-1a2b-410f-aa37-7ad8e6b0e539;Deputy
c4821bf8-2da8-443a-a1e2-ba5691c16b3a;Deputy
3123c46b-de29-4a11-befc-08161b3a80ad;Deputy
ba3aadee-c489-402a-b70b-cc6c1170068f;Deputy
f426e03a-9a4d-4d14-be3a-796327643158;Deputy
35f03604-1fcb-4c36-b0d3-308e659f6459;Deputy
39b86d24-bba2-4fa6-8c67-aef5eb2909e2;Deputy
9b2b4e03-2453-45a9-95d1-11a15733c629;Deputy
6bb8a847-d969-4d42-8574-e5ab61efae42;Deputy
9813c669-8210-479b-b8a8-904db4893c27;Deputy
59c5b248-36a5-46c4-91c6-2e1952603805;Deputy
6e053545-68ce-4da8-84de-0b4c0fd3ee8b;Deputy
4e48d437-433b-4eec-8537-c923df85d734;Deputy
5bd94c9b-afd4-4690-93d1-e1ffb33f44a5;Deputy
164785e1-6f47-4d83-8ed9-5c3d62872227;Deputy
82d68a80-ee69-4d43-9754-afa33798b223;Deputy
0778610a-0436-42cd-aa38-b6da6d3ca717;Deputy
709aa04c-14f0-4a47-9c83-cdcfbb48e2f2;Deputy
c79da5e7-e9bd-460a-808d-a67f81f707b3;Deputy
e0484aca-f9c4-4fec-8bbb-f887f3b1361b;Deputy
2130741f-097e-4f28-bcd1-2b597bc6af36;Deputy
43b7a1f5-2330-41b5-9ab7-093b5f88de7c;Deputy
2073ea40-c957-4f72-a2d1-674a48615a0c;Deputy
4146c0cf-72f4-42a8-8d83-048db505ea94;Deputy
330061f8-1be5-4766-8249-c4eb4b523546;Deputy
282dd4d9-f325-4073-8a16-f4af85640de3;Deputy
0585ccec-2353-4c5f-a153-0295be4b8abb;Deputy
3f1b9df9-e2b1-47d7-a92b-337d9208a033;Deputy
e8ab2982-1644-466b-962b-be872c533933;Deputy
1e036b96-c1e6-400b-9fbe-1e6c2708646a;Deputy
0c620bff-eb6a-4e7e-ac01-8c212d863e0d;Deputy
62c9f3fd-e507-4585-ba0c-0091cbba1877;Deputy
e0bd1090-bdd0-4523-b7d7-0709ec0d774b;Deputy
f194b931-3e9d-4351-9846-4af28486e987;Deputy
99ae19a0-be8e-4357-8ae9-d08f35ec3799;Deputy
0fa0f350-b34e-4ba6-8e3a-51905b311379;Deputy
b6b2ec51-8734-4bfc-8710-2456b71d83ca;Deputy
0455a836-9283-4a1e-a6d5-7b842a4c29ec;Deputy
c76abc4a-28f2-4a94-8ba8-5994e1b5ed8f;Deputy
3b139760-3194-4af0-a1d5-118a35600709;Deputy
