slp:resource_uri;rdfs:label
70f12084-b63a-4bca-b140-e60480ef3802;Affiliate
1706c489-db73-4b74-a410-5e441c1e1cdd;Affiliate
ea9a2925-a286-4b13-b719-a030418dd8c5;Affiliate
11dccd25-3d27-4e70-af1d-bb0907675b2c;Affiliate
a2d74722-5042-4795-b72e-c4d3bba42fc9;Affiliate
fd4484a7-c150-4b9d-978d-7544e3e2d1a8;Affiliate
e3ca229c-fc9c-4d36-8e82-4ab0afb93a63;Affiliate
eb1a65b9-4a24-4b05-aed6-3e57f11c07ca;Affiliate
d5ac03b0-a9a7-423e-8ea8-818ff67f5c2a;Affiliate
341d4bac-2a0f-40d7-b87d-0bb58ece303f;Affiliate
f2097099-9d3f-447d-a4cb-f3708d4c031b;Affiliate
41fa6c27-9a24-46d8-a40f-e8a5ffa0157f;Affiliate
2a13dd89-beef-4580-a996-a765eb60073f;Affiliate
37faadda-5d5c-402e-b1da-a2a29d4efe39;Affiliate
e7fed45c-f8b7-4b45-9268-b0c458d02913;Affiliate
0c1bff8d-13f2-4a85-bc7f-97753e091873;Affiliate
cd983122-9ecc-4a32-8a2e-f2c06f3f7434;Affiliate
b4673f49-d166-462a-ae5e-e55a89c57670;Affiliate
5faadfab-98f3-44c2-8442-47cf8585fe25;Affiliate
f7abf72d-373c-4250-9c40-07f13540a2c4;Affiliate
2ab37ec4-94a7-467a-bcb4-f2e007b5f47e;Affiliate
7e95b080-b0ff-446c-86f1-a8c432d65f3e;Affiliate
79fac15b-fe9c-4e6d-b50c-73930558dee4;Affiliate
7d7e374b-7f31-44ce-ad2f-772597e27702;Affiliate
4fa46e61-f402-4ea9-8483-b9425ad5976f;Affiliate
9ecab01c-ca80-4cd9-9a7b-fffe73eb62e9;Affiliate
bf492521-2ffc-4c5e-92ce-cef973ac5157;Affiliate
aca4bef6-69aa-4317-9e62-677a375f0817;Affiliate
55f33e78-dc7e-4c32-af93-7a46daec660c;Affiliate
1d36aadf-e122-4f8d-b31c-73391f006639;Affiliate
4568e6ae-9bc2-45ff-a904-da618707e142;Affiliate
865a6758-3a1b-46cf-b8f5-43a58b88cc0c;Affiliate
05bff00c-2ab8-466a-8f61-dd19398a56ea;Affiliate
cd2a65f3-7ac0-4c1e-9061-f35f9a251c8d;Affiliate
e8a5c1f4-51b3-4cbc-abe4-5bf9b793ca02;Affiliate
28ff25c2-bfc8-40e5-8fda-29b3439f4482;Affiliate
ea702082-1042-4796-a992-f5fe1242a326;Affiliate
45753c88-0fc2-42f2-86d2-6c6c0fa74da8;Affiliate
55709f47-f2fb-49f1-8a9b-95b34b9dabb2;Affiliate
19c29a8c-08b8-4a85-9107-35a0dd364712;Affiliate
9f0e2412-301c-4d16-97cb-f0d871162eeb;Affiliate
68f78e8d-8e87-4642-9366-7faa38a43433;Affiliate
9d4751f4-71cb-41cc-8a74-6b4860791f1e;Affiliate
3052de81-dc29-46b8-b107-651fdb6a3af5;Affiliate
6c57fd8f-0874-402a-9d58-743e0814a2e5;Affiliate
ab41d0b0-b099-45a5-87c5-949b33532623;Affiliate
9dde4a27-4a82-4f9f-a7ab-3f1522227e01;Affiliate
67d80373-8c79-41ac-9b6d-a762f144b7e5;Affiliate
22c154cf-f3c9-4eb4-b477-dc19b076b32a;Affiliate
963a573f-2e63-47ce-aba6-0332156a1c32;Affiliate
65367063-3dc2-41aa-bb21-2204262376c2;Affiliate
794029a8-4d9e-4990-a178-d19b96749718;Affiliate
d51aa14b-a9c1-46a8-be30-5d9886b49c54;Affiliate
d8e1c601-8403-45db-bce6-7a3d8ad159f5;Affiliate
a2fd8502-af2d-43d5-aa42-02c16e9cdb6a;Affiliate
91bf52fc-0d7e-4842-921d-85d63139ef6c;Affiliate
8bf77a54-caaf-4f37-b95d-a0ad017d595d;Affiliate
97e83892-13d8-4e77-829e-dc1a4c20dc01;Affiliate
00f12323-92a6-4935-b8c5-9b410f2c20cf;Affiliate
e2f00461-94a9-48b5-89ef-16f4c57be688;Affiliate
888c19b8-6a1b-40c7-9ea1-c2beb397b6e8;Affiliate
2c5b3fa7-279c-46db-9e0e-07f8c47c5f2a;Affiliate
ffeacfe8-c785-43c3-a9f0-dd52fbb360e1;Affiliate
a3ef9a4b-a290-449f-95f7-bdf0f60b7f1d;Affiliate
3c4cf242-fd4f-4a67-9a0a-d8304de72ce6;Affiliate
0aa100df-dfc6-426e-a43f-a4eeac797f58;Affiliate
e029b22a-5aaf-4141-9008-542a5627497b;Affiliate
63afa513-31c3-4581-8dc5-101fe68da0ee;Affiliate
b599e100-fceb-4ec2-ac3e-b709f4572659;Affiliate
595d96e3-5a7e-4681-abc2-3f2962734824;Affiliate
7e09494a-45cc-4965-b2f5-b458c2e4846a;Affiliate
faaa7565-b70c-45a0-8331-9b0499f9089f;Affiliate
81bcd975-a1f8-47c2-b594-a001b3a3b5d9;Affiliate
e67a489c-edce-4570-8189-e591da21a324;Affiliate
7ba5ffab-d452-43ea-8701-0abdc49d4421;Affiliate
036158d7-cad9-4e96-b2c6-f742934caba2;Affiliate
1c0aedb3-dc66-4447-a718-807f91df35d4;Affiliate
3cf35f2f-94b6-4ff2-96e4-9e3c332e7981;Affiliate
66c5518f-9111-4349-aa4f-e0ab07ac38f2;Affiliate
b5f244c6-943b-487b-bb37-624e4c4d06a4;Affiliate
0ddaca8b-f949-442b-860c-72bf62684f78;Affiliate
4127a6c0-430e-4f5f-bd07-ce19b1b58ee9;Affiliate
2ab7f7f2-18c2-4338-8fe2-561fae14bcca;Affiliate
