slp:resource_uri;rdfs:label
2e32f585-ce98-432c-b32d-2425cf502072;Senador
35b95149-c35d-4d45-8057-105003c26b32;Senador
3b643a26-92cd-4762-94dd-642cb5e4113a;Senador
cdba7ead-8aab-4044-8017-6c80016b02c7;Senador
c1ac8055-56f0-49b9-987b-26d91d7d92e1;Senador
727b35a9-048c-4b77-b05d-d28872b9b97b;Senador
9afb3f54-66f1-4071-8e74-5c4ddab39991;Senador
3b214929-0372-4813-9816-367a443df05f;Senador
f8d5e53d-a894-4b79-8238-1cf58c6033cd;Senador
0b55d9c3-40ec-4c2e-ba8c-74ef56a5d6a4;Senador
f9bbee83-f5df-444b-b366-4dccae382015;Senador
83a8bfde-b1e1-497e-af88-968dcd1a2127;Senador
0bf72d8c-bb29-45f0-bb4d-de340d003d63;Senador
07870d94-c20c-4fcd-860e-9dacecb4ad3b;Senador
a01f50dc-cdfe-4fa2-afdd-e5981b2a2c1b;Senador
c23bbb82-f507-42e4-8d0b-08257fc9be4b;Senador
165ad33f-e58d-4395-8926-431549d0f8f1;Senador
9d0a213f-e0c9-4416-83ed-85041d7940aa;Senador
2062ccfa-e768-4a96-bc03-1aeaafbf4dac;Senador
a96ffa49-a0ba-43bb-b22d-f6d050c66a18;Senador
94048f7b-bc25-4e60-9070-9edbb151b367;Senador
42983ab4-0a17-49c4-b871-ec390fa8d15a;Senador
70b03f8a-bd96-4ae9-b3b0-9c858b4d68ea;Senador
f8a9c57b-3cc4-4fe2-a824-1b462c7f3de6;Senador
61ff3834-a82c-4af7-99ad-86dad9d0ba7c;Senador
c7b7d419-ca01-46dc-854e-b1d86b767d9f;Senador
4791b9a1-2f63-4c14-8c0d-11923af5909f;Senador
18c53617-ae61-407c-bb0e-4289d3e33a36;Senador
c35366f5-6388-433d-9cf1-d3cf66ab3639;Senador
a5eaad09-3c5e-42de-b20e-8b97e66ffe1d;Senador
d01b6bfd-f646-4735-aee1-d7b3724b8d8c;Senador
989f2d74-b07f-46b2-94ef-2a897b990047;Senador
56759fda-5be5-4365-a2e2-4f3ca06dc2bf;Senador
be1dd342-d1ed-46b2-8944-1075a27e8d79;Senador
ddf9813d-238e-489f-ab8b-5dee8a01dc24;Senador
5905f352-3d95-43ec-bccf-18ec640fecc3;Senador
3d933911-ca7b-4673-9b7a-d6fed6121259;Senador
464f49e6-f5e7-4dd6-81d1-d6dd1936ee4a;Senador
47184e8a-0666-414c-bcb1-b559666b8a7e;Senador
af7e68bc-e362-4cc1-9276-a95fac52413a;Senador
6e890d2d-1e4b-49cd-b299-d510f14f72c6;Senador
a444be07-d7b8-4540-b4d9-453f34551f99;Senador
8cc99bd4-6bc6-4395-b42b-295616101136;Senador
526c4ae9-e8e5-48a6-909a-2f562514bd0f;Senador
65c35c9b-d508-4e35-9268-0e7966dc13d7;Senador
d702e680-8052-4734-8ace-082a8828d07f;Senador
dbd6b5a7-58f7-4190-af91-d38f10f68f6c;Senador
cc1abaa0-6368-4366-b836-e1c446a99424;Senador
4c3f701f-1949-4ac8-a41c-a7b659d1d6bd;Senador
bc8048f3-2eca-434a-933b-222ae75bc356;Senador
f4c33903-725c-459e-b255-038ecd60e382;Senador
35ab6ea8-969c-4f1d-ae37-2907009c01c9;Senador
d569a924-59d2-4cea-af41-c91f1cde52c1;Senador
da018d14-29e8-46aa-a987-46967b9768ad;Senador
156069d9-95d7-4ed5-bd0a-a0a625cd2481;Senador
c88e61e4-8993-48ff-80e4-804a78f03541;Senador
bef71aa6-b9ff-4866-a8e4-aabca69feefc;Senador
3674b5cd-be3d-4400-b0af-6f4d737c6b12;Senador
d5d59358-7161-4925-9b92-276160dc72e6;Senador
2237948f-a4d4-49bc-b73f-97f421c0e0a7;Senador
bb9d9610-c42a-4d3a-b200-e6ef67845d84;Senador
