;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri
0;2017-05-23;2017-01-02;Afastamento;141385;53;SP;Suplente;6e7ac744-763e-4930-9015-d1a16243ec34;b27beba7-ca02-4041-a9e0-1793bcd141fe;91d9f4d7-19a0-4ec8-a711-feb2f5ca1d76
1;;2015-02-01;;;;PB;Titular;7a01090a-a878-478f-a1fa-00d70d3f0d65;b27beba7-ca02-4041-a9e0-1793bcd141fe;6422a598-41e9-4d90-94e7-456dd69d9d81
2;;2015-02-01;;;;PE;Titular;64c709c8-4108-44d0-8fd4-ab39785e6e5c;b27beba7-ca02-4041-a9e0-1793bcd141fe;42b6db1b-aeeb-47f0-b2d2-16378ed810d6
3;;2015-02-01;;;;SE;Titular;347c5efd-5aed-42ca-9a78-3370b651ae08;b27beba7-ca02-4041-a9e0-1793bcd141fe;9316b537-d9e6-40b8-955e-bc3c443b0ca9
4;2016-04-15;2015-02-03;Afastamento;141441;53;MG;Suplente;6edfbcb9-350e-4792-ba27-263bb9a8946a;b27beba7-ca02-4041-a9e0-1793bcd141fe;b93835f9-c853-40af-99db-85c46d0a80d8
5;;2016-04-19;;74160;;MG;Suplente;6edfbcb9-350e-4792-ba27-263bb9a8946a;b27beba7-ca02-4041-a9e0-1793bcd141fe;03434b65-1ab4-4e60-bc5c-249c00a3a0cd
6;;2015-02-01;;;;RS;Titular;43be9f6f-4d99-4f46-8dc2-89f4a35415a4;b27beba7-ca02-4041-a9e0-1793bcd141fe;b22524b0-7c9e-4021-b1b2-0958895aaf76
7;2017-10-30;2015-02-01;Licença Conjunta Consecutiva;;20;MT;Titular;8ed2b2a0-77d6-4ab5-b696-b3b8a82446fc;b27beba7-ca02-4041-a9e0-1793bcd141fe;a9cdf061-be95-40d7-b2a4-dceddb753556
8;;2018-02-28;;;;MT;Titular;8ed2b2a0-77d6-4ab5-b696-b3b8a82446fc;b27beba7-ca02-4041-a9e0-1793bcd141fe;424f3496-11be-448b-944e-e6faf5468972
9;2017-08-02;2015-04-09;Afastamento;185500;53;MA;Suplente;31945874-3476-407a-9ed8-2562851e4920;b27beba7-ca02-4041-a9e0-1793bcd141fe;41c1b094-490e-4f5f-9e35-19f5cc46674c
10;2017-10-20;2017-08-03;Afastamento;74210;53;MA;Suplente;31945874-3476-407a-9ed8-2562851e4920;b27beba7-ca02-4041-a9e0-1793bcd141fe;9f962b54-4ff5-443a-88fe-9be46ee7eebb
11;;2017-10-26;;74210;;MA;Suplente;31945874-3476-407a-9ed8-2562851e4920;b27beba7-ca02-4041-a9e0-1793bcd141fe;c7a9eaf6-81bf-4a78-a7e2-a67dea993b03
12;;2015-02-01;;;;RR;Titular;9990d718-c7f9-4b79-81d4-70e110b97bb6;b27beba7-ca02-4041-a9e0-1793bcd141fe;b014ec25-9d42-403c-bf61-660e7dd59118
13;;2015-02-01;;;;BA;Titular;cde1d91c-79c9-4de3-a29e-90232f270843;b27beba7-ca02-4041-a9e0-1793bcd141fe;85a8f80d-14e3-481a-b26c-486024fae75d
14;;2015-02-01;;;;RJ;Titular;6a953e61-070a-419d-a608-f72d255701cd;b27beba7-ca02-4041-a9e0-1793bcd141fe;ac79a8d3-e6d3-4e9a-a24b-07765bd500e0
15;;2015-02-01;;;;AM;Titular;b7bb1285-e886-4bd4-8485-91d577398827;b27beba7-ca02-4041-a9e0-1793bcd141fe;67be0cfd-a90c-4bce-a935-fcf3d9618669
16;;2015-02-01;;;;MA;Titular;d159f8b8-3420-40ef-948f-aea750061faf;b27beba7-ca02-4041-a9e0-1793bcd141fe;d54db678-d4d2-4305-9d17-eee079a1e055
17;2015-11-17;2015-02-01;Secretário de Estado;;12;CE;Titular;a127dc2e-3239-4b71-b692-3b60622cb9d5;b27beba7-ca02-4041-a9e0-1793bcd141fe;ab716e5c-382d-4007-b622-08510c630d09
18;;2016-04-15;;;;CE;Titular;a127dc2e-3239-4b71-b692-3b60622cb9d5;b27beba7-ca02-4041-a9e0-1793bcd141fe;770a11f7-b94b-4430-ac44-2316f64e8bbd
19;2015-02-09;2015-02-01;Secretário de Estado;;12;RJ;Titular;d86b7aa0-c697-47f8-81d7-f935799d71a0;b27beba7-ca02-4041-a9e0-1793bcd141fe;e314c9e5-db47-4618-884e-cbb7312c8b76
20;2015-12-15;2015-02-12;Secretário de Prefeitura de Capital;;13;RJ;Titular;d86b7aa0-c697-47f8-81d7-f935799d71a0;b27beba7-ca02-4041-a9e0-1793bcd141fe;27a5da2e-42da-4a36-aae7-5e73cf6bbe43
21;2016-02-17;2015-12-22;Secretário de Prefeitura de Capital;;13;RJ;Titular;d86b7aa0-c697-47f8-81d7-f935799d71a0;b27beba7-ca02-4041-a9e0-1793bcd141fe;4e77f1b9-2fe7-46f5-9658-72da24eb0b30
22;;2016-02-19;;;;RJ;Titular;d86b7aa0-c697-47f8-81d7-f935799d71a0;b27beba7-ca02-4041-a9e0-1793bcd141fe;8d9a5328-b577-4348-9d33-a5a62d7bd911
23;2015-03-06;2015-02-01;Afastamento por Decisão;;36;MG;Suplente;0ed3ddae-8199-4d42-ad23-bc3fbc3c8776;b27beba7-ca02-4041-a9e0-1793bcd141fe;3242fd83-23a8-484a-9bb8-32923375f601
24;;2015-03-06;;178890;;MG;Suplente;0ed3ddae-8199-4d42-ad23-bc3fbc3c8776;b27beba7-ca02-4041-a9e0-1793bcd141fe;4af5892c-e8a5-4418-b301-ea6179ecde96
25;;2015-02-01;;;;RS;Titular;3f19f9b7-1da0-4e20-aaa0-5b00146c5bfc;b27beba7-ca02-4041-a9e0-1793bcd141fe;59c4994b-8fd9-45a1-8f26-ff0501661a21
26;;2015-02-01;;;;PR;Titular;8170c657-1a67-47bb-ab38-819056425526;b27beba7-ca02-4041-a9e0-1793bcd141fe;fd52d585-faae-4863-a967-635eacfec89f
27;;2015-02-01;;;;SP;Titular;bbbb2fe5-531b-4415-af88-0e347b12845b;b27beba7-ca02-4041-a9e0-1793bcd141fe;b37431c1-461a-44ae-a904-be64d6871e61
28;;2015-02-01;;;;SP;Titular;ece4572c-5a07-4186-a973-9b8b1644ba65;b27beba7-ca02-4041-a9e0-1793bcd141fe;a266c8e0-cc33-47d6-9956-2d2b0bb40eea
29;;2015-02-01;;;;AC;Titular;e01ee403-0498-4e7b-bc9f-d5655a23e6ac;b27beba7-ca02-4041-a9e0-1793bcd141fe;cb27af52-4be0-4e8b-b464-f02e529cdfee
30;2015-08-06;2015-02-01;Secretário de Estado;;12;CE;Titular;8ce0f716-126b-45f8-8e05-f7f958bd317f;b27beba7-ca02-4041-a9e0-1793bcd141fe;5fcf1b88-5d63-4b17-9b62-9040a4074c45
31;;2015-02-01;;;;BA;Titular;81f05091-945a-4176-ad3d-857b2e61138e;b27beba7-ca02-4041-a9e0-1793bcd141fe;63e21ac1-cbfb-49dd-b052-8587cbc222c4
32;2016-04-28;2015-02-01;Licença para Tratamento de Saúde;;7;CE;Titular;e309c3e5-3ac7-4382-a5ca-8b6ab34c394c;b27beba7-ca02-4041-a9e0-1793bcd141fe;c41c935a-1c4d-486b-8abd-9e2770bf1801
33;;2016-09-15;;;;CE;Titular;e309c3e5-3ac7-4382-a5ca-8b6ab34c394c;b27beba7-ca02-4041-a9e0-1793bcd141fe;48494068-1d06-4958-b8da-3b42c2f2eec7
34;2017-11-22;2015-02-01;Ministro de Estado;;11;GO;Titular;8cd388d4-25fe-4896-a384-53361df3e576;b27beba7-ca02-4041-a9e0-1793bcd141fe;43d9ce8a-76db-4ca2-87ba-af5f83425a25
35;2016-04-05;2015-10-28;Afastamento;73720;53;SC;Suplente;91807249-a3ee-4ac7-a86b-3f1f7319ceb1;b27beba7-ca02-4041-a9e0-1793bcd141fe;fce0440d-be83-48d0-b50b-c94ae1cb3131
36;2016-07-13;2016-05-09;Afastamento;73720;53;SC;Suplente;91807249-a3ee-4ac7-a86b-3f1f7319ceb1;b27beba7-ca02-4041-a9e0-1793bcd141fe;fd7f0d23-19fb-4ea9-aca1-d7d4f3a747e6
37;2016-10-18;2016-07-19;Afastamento;73720;53;SC;Suplente;91807249-a3ee-4ac7-a86b-3f1f7319ceb1;b27beba7-ca02-4041-a9e0-1793bcd141fe;ed01049d-743f-452f-a91f-778a3d98fc4e
38;2017-01-04;2016-10-24;Afastamento;73720;53;SC;Suplente;91807249-a3ee-4ac7-a86b-3f1f7319ceb1;b27beba7-ca02-4041-a9e0-1793bcd141fe;d0bfc1dd-e70c-4892-a65d-ac52632091bc
39;;2015-02-01;;;;PR;Titular;c05e7235-8be2-4ff0-b3c7-d7c91282c169;b27beba7-ca02-4041-a9e0-1793bcd141fe;b24a8f84-cf33-4bca-a63b-f754ee83e49f
40;2016-06-20;2015-02-01;Licença Conjunta Consecutiva;;20;MA;Titular;bd13e2ac-6c26-4972-958d-8bb57fc421bb;b27beba7-ca02-4041-a9e0-1793bcd141fe;cc1800fe-3568-4549-944b-8716cc9f6d33
41;;2016-10-19;;;;MA;Titular;bd13e2ac-6c26-4972-958d-8bb57fc421bb;b27beba7-ca02-4041-a9e0-1793bcd141fe;61863b21-9023-4562-9df7-629fc26ece27
42;;2015-02-01;;;;SP;Titular;0e3848ce-2530-4053-aa0c-49da8b1f52d1;b27beba7-ca02-4041-a9e0-1793bcd141fe;4997b3b3-1459-4a35-9a70-4919c252eddd
43;;2015-02-01;;;;SE;Titular;fccfbc0f-60c4-4526-a687-996d0c62e46d;b27beba7-ca02-4041-a9e0-1793bcd141fe;b0f6bcc8-9c6e-4470-b9f5-a5302609a3ac
44;;2015-02-01;;;;PR;Titular;7d8437ee-c309-4a64-9a98-2d5aa69c5d91;b27beba7-ca02-4041-a9e0-1793bcd141fe;31083d5e-e325-47ad-ba14-e100d8c6cc03
45;2015-02-09;2015-02-01;Secretário de Estado;;12;PE;Titular;4408b5a4-b3eb-4820-b0e3-5f59e3124fc0;b27beba7-ca02-4041-a9e0-1793bcd141fe;54899c56-62b9-45f8-99ae-f92040a88ca6
46;2016-04-20;2016-04-14;Secretário de Estado;;12;PE;Titular;4408b5a4-b3eb-4820-b0e3-5f59e3124fc0;b27beba7-ca02-4041-a9e0-1793bcd141fe;443d2ff6-4ba3-4497-9732-3a7bc2558790
