person_resource_uri ideCadastro
http://www.seliganapolitica.org/resource/0eca4711b6022ab099135f54dfe60590 178835
http://www.seliganapolitica.org/resource/3f8ce45065ead34564ffbb987a294be7 178836
http://www.seliganapolitica.org/resource/95790d526cceac0ff7d0947aa429a486 178972
http://www.seliganapolitica.org/resource/7640b6ed7ac6123c9016ee426aa357e6 73701
http://www.seliganapolitica.org/resource/c0f1c291dec74d587b1f0d819617c764 74459
http://www.seliganapolitica.org/resource/8f63e36aae1915085f4751957e5a41f0 178936
http://www.seliganapolitica.org/resource/2cf4ceefc8b4947c9221eca68b9b00ac 160581
http://www.seliganapolitica.org/resource/16c1ee98fe15746427b1ae09a3102f15 178875
http://www.seliganapolitica.org/resource/125b75b835bd3f45e3d9bc6535964b7d 74040
http://www.seliganapolitica.org/resource/5e4b85bb5f25ee97ed9d28ab350ace4f 178976
http://www.seliganapolitica.org/resource/ebad827ac9a4a4fb0ab0c06fdddc6f71 178906
http://www.seliganapolitica.org/resource/93c057d2e204415b359c576696e26ea4 178882
http://www.seliganapolitica.org/resource/069ec5b7ba726af033923cb2dd8a7340 160511
http://www.seliganapolitica.org/resource/894a58f2b700592ab6608ea9a3859ee5 178950
http://www.seliganapolitica.org/resource/f5da5917ec0aa3ea5dee93c2be68e476 73437
http://www.seliganapolitica.org/resource/ae911369ccfabeabe8ffbc665b182154 74057
http://www.seliganapolitica.org/resource/491d0297d2b18912f376b88e106fea6f 178915
http://www.seliganapolitica.org/resource/1837207751500d52499c13f13e1fb5f0 160665
http://www.seliganapolitica.org/resource/9461abeaf44c02bd97b59126f4d05865 74471
http://www.seliganapolitica.org/resource/73ca0003db34528d6b7d9ab7b98d17a9 160543
http://www.seliganapolitica.org/resource/f1ab2af912e8e66e5b9f589d3f8497d4 178853
http://www.seliganapolitica.org/resource/c236c68d1ab6e61ac05c549a06955732 73433
http://www.seliganapolitica.org/resource/7f5da35dd52920e6e35ecf785971fb61 178829
http://www.seliganapolitica.org/resource/f0091e199c5f753b034d129cd22eb76d 178831
http://www.seliganapolitica.org/resource/6fb66fb5c74bbae14b02e7a049aa2a71 178999
http://www.seliganapolitica.org/resource/8e90e0a14ef7e9403b236adc00ecfebd 74535
http://www.seliganapolitica.org/resource/162f64364f291a7c03421d68e4abc23d 74474
http://www.seliganapolitica.org/resource/d2488aea4c792db37a71ef88be6c75f7 178903
http://www.seliganapolitica.org/resource/98911d3cdfdea21f0727f24324716a4c 141372
http://www.seliganapolitica.org/resource/5c2d38915382aa0de66b437d97491556 74090
http://www.seliganapolitica.org/resource/c4fb876551ffbb0c910f738048ccf97c 141394
http://www.seliganapolitica.org/resource/aed6224c8c381b6e184198948059bcca 178957
http://www.seliganapolitica.org/resource/5de584aa861a023b8022f2d89ade4bc9 136811
http://www.seliganapolitica.org/resource/b9fea208134c8c4e1f82578803bcb948 178937
http://www.seliganapolitica.org/resource/be2b6bff6bdce7b743c2bc9a46e43282 160508
http://www.seliganapolitica.org/resource/74357723030a17509289969d1421aa99 178890
http://www.seliganapolitica.org/resource/0d9aaa629879fe27435d80a2da1469e7 178833
http://www.seliganapolitica.org/resource/6c937ac640034ba75878372bc5e24d99 93083
http://www.seliganapolitica.org/resource/aef40f85395b5fdff2024e84d80e9b82 192120
http://www.seliganapolitica.org/resource/f4fd53b027d5869276d82ee1df6f7983 141335
http://www.seliganapolitica.org/resource/6bfd4e4e97cc0366bdb2229655aa714e 74378
http://www.seliganapolitica.org/resource/99e2cd799069cdcd75e2d4958a82ee38 73434
http://www.seliganapolitica.org/resource/9d5c32a8d1f92749308762291ccc4c7d 141513
