new;expired;total
517.0;15.0;502.0
4.0;10.0;496.0
10.0;4.0;502.0
7.0;0.0;509.0
0.0;1.0;508.0
2.0;1.0;509.0
7.0;4.0;512.0
2.0;1.0;513.0
2.0;0.0;515.0
0.0;1.0;514.0
2.0;3.0;513.0
2.0;1.0;514.0
3.0;0.0;517.0
0.0;2.0;515.0
1.0;0.0;516.0
1.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;5.0;512.0
3.0;3.0;512.0
5.0;0.0;517.0
0.0;1.0;516.0
1.0;2.0;515.0
2.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;1.0;517.0
1.0;0.0;518.0
0.0;4.0;514.0
4.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
2.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
2.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
2.0;3.0;515.0
3.0;2.0;516.0
2.0;1.0;517.0
1.0;0.0;518.0
0.0;4.0;514.0
3.0;1.0;516.0
2.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
2.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
1.0;1.0;516.0
2.0;1.0;517.0
1.0;0.0;518.0
0.0;4.0;514.0
4.0;1.0;517.0
1.0;0.0;518.0
0.0;3.0;515.0
2.0;0.0;517.0
0.0;2.0;515.0
3.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
0.0;1.0;516.0
1.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
0.0;1.0;515.0
3.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
2.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;1.0;517.0
1.0;0.0;518.0
0.0;2.0;516.0
2.0;0.0;518.0
0.0;1.0;517.0
1.0;2.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;4.0;513.0
3.0;2.0;514.0
1.0;0.0;515.0
1.0;0.0;516.0
0.0;2.0;514.0
1.0;1.0;514.0
1.0;1.0;514.0
3.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;2.0;515.0
2.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
1.0;0.0;517.0
0.0;1.0;516.0
0.0;2.0;514.0
0.0;1.0;513.0
3.0;1.0;515.0
0.0;2.0;513.0
3.0;1.0;515.0
1.0;0.0;516.0
0.0;2.0;514.0
2.0;1.0;515.0
0.0;1.0;514.0
1.0;1.0;514.0
2.0;0.0;516.0
0.0;1.0;515.0
1.0;0.0;516.0
0.0;1.0;515.0
